node_1	node_2	r_bg	r_new	X13_22N_H_N_2_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.654028181374477	0.0241967801133334	0.922450685723364	0.356293541916877	0.999999993941542	gained	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.656928297938441	0.014412797971643	0.5645591392381	0.57237366438026	0.999999993941542	gained	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.583623626452391	-0.0305852593390562	-1.12960875372742	0.258641120797764	0.933070550963516	lost	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.687839537386069	0.0177656482352389	0.741577459858075	0.458343384337196	0.999999993941542	gained	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.73921566178914	0.0103209394804648	0.506454631058561	0.61253753138413	0.999999993941542	gained	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.713688802393611	0.00754004591402546	0.345905445949151	0.729413775735951	0.999999993941542	gained	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.723142283605802	0.0262176731482512	1.17248895578858	0.241000803638059	0.909288995175875	gained	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.680914084984133	0.00186438444298087	0.0795723106687643	0.936577418251021	0.999999993941542	gained	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.698740988493954	-0.0216807386543009	-1.03672500654144	0.29986403440285	0.980847991589937	lost	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.629605527058397	0.0154070360859924	0.56901809426734	0.569343860603672	0.999999993941542	gained	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.767234304456145	-0.00116849777160399	-0.0656207560477488	0.947679763791811	0.999999993941542	lost	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.605998227295963	0.00303357052456021	0.109629849175125	0.912702937114897	0.999999993941542	gained	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.585942040085205	-0.0259644316872266	-0.954619755299925	0.339770023122142	0.999999993941542	lost	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.581850250789076	-0.161266678584332	-8.28343507644415	1.19672228554028e-16	1.02218928669682e-13	lost	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.712463634869197	0.0432503356630661	1.80159613559694	0.0716089697171651	0.500785687374253	gained	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.637296140736129	-0.0616806855387503	-2.77389260332765	0.00553899605125272	0.0905135939370736	lost	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.61239390827429	0.00171956015008956	0.0630702346108135	0.949710576434174	0.999999993941542	gained	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.683862745384322	0.0295483578775996	1.18839778890898	0.234676727139765	0.900592189236851	gained	FALSE	FALSE
OTU_1013	OTU_1138	0.697309750348405	0.684907224047659	-0.0124025263007457	-0.555237071646944	0.57873251515975	0.999999993941542	lost	FALSE	FALSE
OTU_10015	OTU_115	0.607132513077956	0.479799163229853	-0.127333349848103	-4.63844300515489	3.51043710425245e-06	0.000243481758977308	lost	FALSE	FALSE
OTU_1138	OTU_115	0.615285790782808	0.561995746949359	-0.0532900438334492	-1.97236057851675	0.0485684587026364	0.397585858921911	lost	FALSE	FALSE
