node_1	node_2	r_bg	r_new	X14_3S_N_C_1_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.624923470591144	-0.00490793066999951	-0.187104399462185	0.851578778803202	0.999999694244379	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.675093785214365	0.0325782852475667	1.27611368128564	0.201915335978867	0.845336706414099	gained	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.443551902068509	-0.170656983722939	-6.30289318658753	2.9214023063348e-10	1.40300427469481e-07	lost	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.639346801060571	-0.0307270880902588	-1.28261663369038	0.199626419719985	0.842053085221946	lost	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.695504458994081	-0.0333902633145944	-1.63848005503271	0.101321591326948	0.638386763885713	lost	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.673983628143798	-0.0321651283357869	-1.47560017377428	0.140051258463973	0.73587447349013	lost	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.695506432730295	-0.00141817772725539	-0.0634227802425405	0.949429847755258	0.999999694244379	lost	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.682994535479275	0.00394483493812325	0.168366364788724	0.866295067350445	0.999999694244379	gained	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.729901484205354	0.00947975705709947	0.453301031562553	0.65033199012142	0.999999694244379	gained	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.634041716242667	0.0198432252702632	0.732856998866139	0.46364565248692	0.999999694244379	gained	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.767296770022745	-0.00110603220500338	-0.0621128009562673	0.95047300299382	0.999999694244379	lost	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.586703630483372	-0.0162610262880305	-0.587655320671329	0.556763670762331	0.999999694244379	lost	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.545465657195918	-0.0664408145765141	-2.44279231361579	0.0145741216328396	0.217685513612581	lost	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.661499903731968	-0.0816170256414404	-4.19224441755839	2.76208178406431e-05	0.00226927497156016	lost	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.667957976566584	-0.00125532263954664	-0.0522905633369656	0.958297172397742	0.999999694244379	lost	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.680786758823414	-0.0181900674514648	-0.818040414384661	0.413334110749455	0.999999694244379	lost	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.57621811412048	-0.0344562340037208	-1.26378990714955	0.206305444727292	0.851756901098261	lost	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.605335053362691	-0.0489793341440318	-1.96988721471821	0.0488512980444861	0.442364333242126	lost	FALSE	FALSE
OTU_1013	OTU_1138	0.697309750348405	0.569296724634084	-0.128013025714321	-5.73089512626238	9.99020220731876e-09	3.05536653981232e-06	lost	FALSE	FALSE
OTU_10015	OTU_115	0.607132513077956	0.611005016062183	0.00387250298422748	0.141065827617501	0.88781793926143	0.999999694244379	gained	FALSE	FALSE
OTU_1138	OTU_115	0.615285790782808	0.576770729462609	-0.0385150613201992	-1.42551184353566	0.154009299025904	0.764439718321218	lost	FALSE	FALSE
OTU_1041	OTU_1152	0.613272351839426	0.347875045236947	-0.265397306602479	-9.78388713524752	1.32039795383279e-22	7.50037455920407e-19	lost	FALSE	FALSE
OTU_1083	OTU_1158	0.652733284371751	0.684725370470244	0.0319920860984927	1.28204852363755	0.199825624908146	0.842338803047954	gained	FALSE	FALSE
OTU_11	OTU_1158	0.641868897926985	0.563033056089635	-0.0788358418373504	-3.08369225725246	0.00204448961128036	0.058415591498563	lost	FALSE	FALSE
OTU_100	OTU_1162	0.622688307477664	0.61854147103999	-0.004146836437674	-0.155779164922909	0.876207094095672	0.999999694244379	lost	FALSE	FALSE
OTU_107	OTU_1159	0.62111511358666	0.629624752002112	0.0085096384154516	0.31865284942227	0.749989772779026	0.999999694244379	gained	FALSE	FALSE
OTU_1133	OTU_1159	0.606482609416807	0.59558475149371	-0.0108978579230965	-0.396487061251445	0.69174575108559	0.999999694244379	lost	FALSE	FALSE
OTU_1144	OTU_1159	0.6348453418243	0.631031729117155	-0.00381361270714531	-0.146930143462609	0.883187159082485	0.999999694244379	lost	FALSE	FALSE
OTU_1061	OTU_1171	0.617469488775199	0.556098077391182	-0.0613714113840167	-2.28134921293321	0.0225277907564645	0.284227583262988	lost	FALSE	FALSE
OTU_1118	OTU_1178	0.641399408855912	0.641628374338101	0.000228965482189425	0.0089468998750846	0.992861501958661	0.999999694244379	gained	FALSE	FALSE
OTU_1158	OTU_118	0.613897660178034	0.627142281250267	0.013244621072233	0.48886500327858	0.624937273800485	0.999999694244379	gained	FALSE	FALSE
OTU_1119	OTU_1180	0.648184653124247	0.652761548176987	0.00457689505273951	0.181542429879592	0.85594183218238	0.999999694244379	gained	FALSE	FALSE
OTU_10842	OTU_11796	0.63693532932986	0.63870278986806	0.00176746053820032	0.0684009368104776	0.945466476111756	0.999999694244379	gained	FALSE	FALSE
OTU_1100	OTU_1182	0.633726825044165	0.627862929635885	-0.0058638954082797	-0.225387329744003	0.821677967488077	0.999999694244379	lost	FALSE	FALSE
OTU_1007	OTU_1193	0.719707531123435	0.716449982033575	-0.00325754908985965	-0.155436419246309	0.876477274649829	0.999999694244379	lost	FALSE	FALSE
OTU_1126	OTU_11952	0.604356452216075	0.581782465411958	-0.0225739868041175	-0.817958274413078	0.413381013294818	0.999999694244379	lost	FALSE	FALSE
OTU_1	OTU_1191	0.762501713652261	0.746900842806688	-0.015600870845573	-0.857208856108066	0.391329468946459	0.999999694244379	lost	FALSE	FALSE
OTU_1090	OTU_1191	0.6164574089582	0.628992837920953	0.0125354289627526	0.465038781679668	0.641903684406141	0.999999694244379	gained	FALSE	FALSE
OTU_1116	OTU_1191	0.676796090860709	0.678443965644941	0.0016478747842319	0.0699350977918004	0.944245317509491	0.999999694244379	gained	FALSE	FALSE
OTU_11528	OTU_1191	0.609962812969989	0.618164561570663	0.0082017486006748	0.300408646660949	0.763865469021984	0.999999694244379	gained	FALSE	FALSE
OTU_1094	OTU_12	0.704488747778061	0.721821817050346	0.0173330692722853	0.791471257433187	0.42866904231731	0.999999694244379	gained	FALSE	FALSE
OTU_100	OTU_12052	0.620708389826698	0.597952397156663	-0.0227559926700349	-0.851423248428059	0.394534281846697	0.999999694244379	lost	FALSE	FALSE
OTU_1044	OTU_121	0.610180790223993	0.659002173648519	0.0488213834245264	1.78895756809126	0.0736216493950554	0.54756611038507	gained	FALSE	FALSE
OTU_1069	OTU_1211	0.673880536395017	0.671413918327402	-0.00246661806761472	-0.10392704177496	0.917227247070153	0.999999694244379	lost	FALSE	FALSE
OTU_10842	OTU_12127	0.640551778157057	0.645077628257113	0.00452585010005613	0.176523170954802	0.859882946707658	0.999999694244379	gained	FALSE	FALSE
OTU_1005	OTU_123	0.627709669648233	0.568717583286251	-0.0589920863619821	-2.23904536232037	0.0251529647590079	0.303586827572909	lost	FALSE	FALSE
OTU_107	OTU_123	0.643461922416899	0.658794162632539	0.0153322402156399	0.601821759561563	0.5472927892616	0.999999694244379	gained	FALSE	FALSE
OTU_12	OTU_123	0.769125216307628	0.782024075933292	0.0128988596256646	0.726346884681227	0.467626144053056	0.999999694244379	gained	FALSE	FALSE
OTU_1	OTU_1230	0.688156027340464	0.686866722210241	-0.00128930513022263	-0.0563292032883346	0.955079554901684	0.999999694244379	lost	FALSE	FALSE
OTU_1009	OTU_1225	0.644554623319287	0.645385791373875	0.000831168054588716	0.0327035957912661	0.973910956399783	0.999999694244379	gained	FALSE	FALSE
OTU_108	OTU_12314	0.602809597356736	0.543820326574186	-0.0589892707825499	-2.13118025198763	0.0330742952711712	0.355828725965671	lost	FALSE	FALSE
OTU_1056	OTU_1235	0.64277911845439	0.496620367852123	-0.146158750602267	-5.72844366117063	1.01356202454702e-08	3.09331594573834e-06	lost	FALSE	FALSE
OTU_1149	OTU_1235	0.666096147678401	0.595861136660419	-0.0702350110179811	-2.9037552034583	0.0036871633089438	0.0880567530303541	lost	FALSE	FALSE
OTU_12	OTU_1237	0.72046256612496	0.736584717169123	0.0161221510441634	0.771019957843248	0.440695102019503	0.999999694244379	gained	FALSE	FALSE
OTU_100	OTU_1238	0.652179529198114	0.633604719157421	-0.0185748100406929	-0.743429587750751	0.457221636506346	0.999999694244379	lost	FALSE	FALSE
OTU_110	OTU_1238	0.606674291971405	0.57487570960275	-0.0317985823686554	-1.15732521968018	0.247139513507828	0.902654704772311	lost	FALSE	FALSE
OTU_1144	OTU_1238	0.649344815898594	0.649434142899396	8.93270008015534e-05	0.00355237548991221	0.997165620403774	0.999999694244379	gained	FALSE	FALSE
OTU_1039	OTU_1243	0.697442449197873	0.571962537860892	-0.125479911336981	-5.61951693786184	1.91492106248608e-08	5.36471759147123e-06	lost	FALSE	FALSE
OTU_12	OTU_1243	0.608828643500161	0.422174949770176	-0.186653693729984	-6.82162102948086	9.00188820854559e-12	6.53066342997394e-09	lost	FALSE	FALSE
OTU_12329	OTU_12446	0.612624527633343	0.616325338855875	0.00370081122253174	0.136257177520612	0.891617975472293	0.999999694244379	gained	FALSE	FALSE
