node_1	node_2	r_bg	r_new	X14_15N_H_N_0_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.199015941095284	-0.43081546016586	-16.4239214800005	1.28956310325094e-60	2.18066499583535e-57	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.649877778596047	0.00736227862924899	0.288385481704359	0.773051679811764	0.999999914004676	gained	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.613339292193833	-0.000869593597614737	-0.032116796171696	0.974378908911734	0.999999914004676	lost	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.66490615431177	-0.00516773483906063	-0.215712684638728	0.829211713081448	0.999999914004676	lost	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.618333345945696	-0.11056137636298	-5.4253124128113	5.78532604569773e-08	1.834134460103e-06	lost	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.630355322880918	-0.0757934335986666	-3.4770824671235	0.000506901880082816	0.00693739701822582	lost	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.716370880496625	0.0194462700390742	0.869662869132904	0.384484669489258	0.999999914004676	gained	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.682796009594384	0.00374630905323159	0.159893239276513	0.872965174277739	0.999999914004676	gained	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.726566242438447	0.00614451529019267	0.293817141380249	0.768897636001072	0.999999914004676	gained	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.595844620597584	-0.0183538703748207	-0.677851618235994	0.497865778851705	0.999999914004676	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.780808012137685	0.0124052099099365	0.696654519164066	0.486019027927968	0.999999914004676	gained	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.610412474413384	0.00744781764198088	0.269155807707015	0.787809786056688	0.999999914004676	gained	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.63525783048373	0.0233513587112977	0.85854636093831	0.39059084219402	0.999999914004676	gained	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.783934803553844	0.0408178741804356	2.09660305340321	0.0360287287689777	0.246782282886428	gained	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.669926422429175	0.00071312322304451	0.029705203974603	0.976302161583127	0.999999914004676	gained	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.667280244421923	-0.031696581852956	-1.42545293043877	0.154026317033498	0.706720572261555	lost	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.60427602212972	-0.00639832599448009	-0.234678572638071	0.814458219889343	0.999999914004676	lost	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.718443516356345	0.064129128849623	2.5791929028762	0.00990314679592671	0.0875754435357662	gained	FALSE	FALSE
OTU_1013	OTU_1138	0.697309750348405	0.653161203976574	-0.0441485463718306	-1.97644487990247	0.0481044127577222	0.307903043263074	lost	FALSE	FALSE
OTU_10015	OTU_115	0.607132513077956	0.612164861588557	0.0050323485106013	0.183316167966566	0.854549949150929	0.999999914004676	gained	FALSE	FALSE
OTU_1138	OTU_115	0.615285790782808	0.645188774866946	0.0299029840841377	1.10676334160842	0.268396261396405	0.988668048829431	gained	FALSE	FALSE
OTU_1041	OTU_1152	0.613272351839426	0.585949876864495	-0.027322474974931	-1.00724462818589	0.313817231635737	0.999999914004676	lost	FALSE	FALSE
OTU_1083	OTU_1158	0.652733284371751	0.661028144853696	0.00829486048194472	0.332407633622796	0.73958147515982	0.999999914004676	gained	FALSE	FALSE
OTU_11	OTU_1158	0.641868897926985	0.669974173466436	0.0281052755394511	1.09934794313176	0.271616327802162	0.995118563951443	gained	FALSE	FALSE
OTU_100	OTU_1162	0.622688307477664	0.675134397016531	0.0524460895388675	1.97017850948073	0.0488179156181876	0.311351069717471	gained	FALSE	FALSE
OTU_107	OTU_1159	0.62111511358666	0.39672285526751	-0.224392258319151	-8.40261701036104	4.36636921603992e-17	4.43608762987388e-15	lost	FALSE	FALSE
OTU_1133	OTU_1159	0.606482609416807	0.611149131996452	0.00466652257964573	0.169777935895638	0.865184779601536	0.999999914004676	gained	FALSE	FALSE
OTU_1144	OTU_1159	0.6348453418243	0.638124805192858	0.00327946336855745	0.126350539560481	0.899454451997054	0.999999914004676	gained	FALSE	FALSE
OTU_1061	OTU_1171	0.617469488775199	0.626654479618334	0.00918499084313462	0.341432128710032	0.732778291467634	0.999999914004676	gained	FALSE	FALSE
OTU_1118	OTU_1178	0.641399408855912	0.650289223016871	0.0088898141609588	0.347372348205773	0.728311604401165	0.999999914004676	gained	FALSE	FALSE
OTU_1158	OTU_118	0.613897660178034	0.55773536937007	-0.0561622908079643	-2.07297576353682	0.0381745351915705	0.258095670946971	lost	FALSE	FALSE
OTU_1119	OTU_1180	0.648184653124247	0.503527283837387	-0.144657369286861	-5.73783100064907	9.58967341788013e-09	3.44564324053244e-07	lost	FALSE	FALSE
OTU_10842	OTU_11796	0.63693532932986	0.649191245055368	0.0122559157255079	0.474305422370902	0.635282125371859	0.999999914004676	gained	FALSE	FALSE
OTU_1100	OTU_1182	0.633726825044165	0.638197980064139	0.00447115501997364	0.171855331764691	0.863551264111271	0.999999914004676	gained	FALSE	FALSE
