node_1	node_2	r_bg	r_new	X14_3N_N_N_1_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.427675045587731	-0.202156355673412	-7.70678032535074	1.29031624708986e-14	7.46496888545004e-12	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.590857696672651	-0.0516578032941464	-2.02347143282338	0.0430245659639387	0.304719895369392	lost	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.629597750279296	0.0153888644878478	0.568358628013986	0.56979147682204	0.999999955579961	gained	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.583924340599893	-0.0861495485509368	-3.59607274310442	0.000323057495933018	0.00847318095666386	lost	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.586555779508493	-0.142338942800183	-6.98465647411063	2.85553824977952e-12	9.86738860482633e-10	lost	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.705795357149318	-0.000353399330267123	-0.0162124679780521	0.987064888763267	0.999999955579961	lost	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.663880599179344	-0.0330440112782067	-1.47777180909874	0.139468866389063	0.605434143484763	lost	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.680279477431727	0.0012297768905748	0.0524871300865541	0.958140549903238	0.999999955579961	gained	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.723232262114123	0.00281053496586858	0.134393570594378	0.893091365437205	0.999999955579961	gained	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.607649087597146	-0.00654940337525789	-0.241884876907997	0.808869368711702	0.999999955579961	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.766698932473139	-0.00170386975460957	-0.0956862941645938	0.923769726620137	0.999999955579961	lost	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.605188710352563	0.00222405358115996	0.0803748113603886	0.935939159700851	0.999999955579961	gained	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.61270589251953	0.000799420747098489	0.0293918560271156	0.97655206794917	0.999999955579961	gained	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.812702431734043	0.0695855023606349	3.57424730344804	0.00035123683984014	0.00905273880839771	gained	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.693461269944204	0.0242479707380737	1.01005112926988	0.312470794529554	0.872780860967411	gained	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.645107684375769	-0.0538691418991095	-2.42259327950678	0.0154101689365094	0.153929877876094	lost	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.621240571602052	0.010566223477852	0.387549219295236	0.698349654412015	0.999999955579961	gained	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.641807828043802	-0.0125065594629206	-0.502998091269933	0.614965614134003	0.999999955579961	lost	FALSE	FALSE
