node_1	node_2	r_bg	r_new	X14_4S_H_C_2_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.613910762783052	-0.0159206384780916	-0.606940419860937	0.543890452602786	0.999999941343477	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.669481197204331	0.0269656972375335	1.05626477602265	0.290847263910552	0.885663462261356	gained	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.644229180533085	0.0300202947416375	1.1087428539907	0.26754112922504	0.854325119181407	gained	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.68909882017303	0.0190249310221997	0.794142709267049	0.427112356378848	0.999999941343477	gained	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.740340943794744	0.0114462214860686	0.561672887503492	0.574338910070563	0.999999941343477	gained	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.699033813806715	-0.00711494267287016	-0.326403505525588	0.744119085617108	0.999999941343477	lost	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.618759455356672	-0.0781651551008791	-3.49564892982867	0.000472910460901708	0.00931790410063645	lost	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.670470307516948	-0.00857939302420441	-0.366170255089619	0.714238036165199	0.999999941343477	lost	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.621020892411139	-0.0994008347371157	-4.75312823452249	2.00293221111591e-06	9.05961266432803e-05	lost	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.471315551422732	-0.142882939549672	-5.27700315051435	1.31313629664166e-07	8.36575868578082e-06	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.766380464087308	-0.00202233814044028	-0.113570912144507	0.909577946868987	0.999999941343477	lost	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.603380095892208	0.000415439120804773	0.0150135056319076	0.988021405661009	0.999999941343477	gained	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.609639026095498	-0.0022674456769336	-0.083365908537682	0.933560595168207	0.999999941343477	lost	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.667183749416673	-0.0759331799567357	-3.90029466620813	9.60756811728575e-05	0.00248457629993915	lost	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.66304838802083	-0.00616491118530071	-0.256799860566649	0.797333277715455	0.999999941343477	lost	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.694479343630174	-0.00449748264470518	-0.202259973811487	0.839713489519239	0.999999941343477	lost	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.567249614998376	-0.0434247331258244	-1.59273759979554	0.111219068838542	0.537846849168466	lost	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.750955566007257	0.0966411785005347	3.88678664727623	0.000101579959441548	0.00260472800912092	gained	FALSE	FALSE
OTU_1013	OTU_1138	0.697309750348405	0.368779217405931	-0.328530532942474	-14.7076754069549	5.75506390745299e-49	6.42882571270152e-45	lost	FALSE	FALSE
OTU_10015	OTU_115	0.607132513077956	0.599512370470554	-0.00762014260740207	-0.277583187890298	0.781332339266788	0.999999941343477	lost	FALSE	FALSE
OTU_1138	OTU_115	0.615285790782808	0.422237960353495	-0.193047830429314	-7.14504817629686	8.99643315428501e-13	1.85352183013871e-10	lost	FALSE	FALSE
OTU_1041	OTU_1152	0.613272351839426	0.544273708033848	-0.0689986438055776	-2.54363901473223	0.0109704393988252	0.110465947707951	lost	FALSE	FALSE
