node_1	node_2	r_bg	r_new	X13_6N_N_N_1_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.600710738959887	-0.0291206623012563	-1.11016320281847	0.266928706096922	0.954895375922452	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.38380584694154	-0.258709653025258	-10.1338337852159	3.91011334919425e-24	4.83323787163344e-21	lost	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.534875655497005	-0.0793332302944432	-2.93002293714871	0.00338936984417494	0.0503186939536241	lost	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.653110675745802	-0.0169632134050286	-0.708082054837693	0.478894302862697	0.999999859947373	lost	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.707068341863236	-0.0218263804454401	-1.07103345356903	0.284154387908924	0.980582862235505	lost	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.650545946408071	-0.0556028100715139	-2.55082197550502	0.0107469205401246	0.121591391875337	lost	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.729444333848565	0.0325197233910142	1.45432496261809	0.145856232824939	0.704649403858879	gained	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.678293206454339	-0.000756494086812665	-0.0322873228864194	0.974242918806307	0.999999859947373	lost	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.68532089466223	-0.0351008324860248	-1.67844423425422	0.0932604083718714	0.542274913817983	lost	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.605228469026107	-0.0089700219462977	-0.331284016272218	0.74042996347365	0.999999859947373	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.797872603122912	0.0294698008951637	1.65497159028614	0.0979302608651487	0.558890525079184	gained	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.602951366081762	-1.32906896410656e-05	-0.000480310673177658	0.999616767544218	0.999999859947373	lost	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.603329401338223	-0.00857707043420863	-0.315348357234506	0.752497172776369	0.999999859947373	lost	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.71787459220358	-0.0252423371698287	-1.29656828651461	0.194779770171329	0.822400572387497	lost	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.660644207235511	-0.00856909197062017	-0.356946200374289	0.721132081916276	0.999999859947373	lost	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.682573754537278	-0.0164030717376009	-0.737675967239354	0.460711379620198	0.999999859947373	lost	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.607903379891781	-0.00277096823241918	-0.101633907082975	0.919047264831939	0.999999859947373	lost	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.744323076966698	0.0900086894599756	3.62003628018599	0.000294561711374483	0.00707047001150263	gained	FALSE	FALSE
OTU_1013	OTU_1138	0.697309750348405	0.693302734901878	-0.00400701544652715	-0.179386317644014	0.857634374069006	0.999999859947373	lost	FALSE	FALSE
OTU_10015	OTU_115	0.607132513077956	0.606445452927966	-0.000687060149989538	-0.025027923561591	0.980032690799968	0.999999859947373	lost	FALSE	FALSE
OTU_1138	OTU_115	0.615285790782808	0.589853534432531	-0.0254322563502771	-0.941293649612904	0.346554396176661	0.999999859947373	lost	FALSE	FALSE
OTU_1041	OTU_1152	0.613272351839426	0.4521729888915	-0.161099362947925	-5.93893737966088	2.86875408016617e-09	3.16588700396541e-07	lost	FALSE	FALSE
OTU_1083	OTU_1158	0.652733284371751	0.630433722033668	-0.0222995623380828	-0.893631033790248	0.371519336268223	0.999999859947373	lost	FALSE	FALSE
OTU_11	OTU_1158	0.641868897926985	0.346488890905706	-0.295380007021279	-11.5538950224941	7.0549050778988e-31	1.75347127345824e-27	lost	FALSE	FALSE
OTU_100	OTU_1162	0.622688307477664	0.619733545239704	-0.00295476223795976	-0.110997962155773	0.911617962711465	0.999999859947373	lost	FALSE	FALSE
OTU_107	OTU_1159	0.62111511358666	0.664799497902853	0.043684384316193	1.63581022577135	0.101879311214836	0.572423989565611	gained	FALSE	FALSE
OTU_1133	OTU_1159	0.606482609416807	0.638336250489152	0.0318536410723452	1.15890266032611	0.246495864407704	0.921713449306737	gained	FALSE	FALSE
OTU_1144	OTU_1159	0.6348453418243	0.544186485827051	-0.0906588559972498	-3.49288712324515	0.000477828441472841	0.0105060373117425	lost	FALSE	FALSE
OTU_1061	OTU_1171	0.617469488775199	0.61607293572193	-0.00139655305326925	-0.051913833119455	0.958597351903965	0.999999859947373	lost	FALSE	FALSE
OTU_1118	OTU_1178	0.641399408855912	0.617592546664517	-0.0238068621913946	-0.930260798831372	0.352236069378083	0.999999859947373	lost	FALSE	FALSE
OTU_1158	OTU_118	0.613897660178034	0.568231575031063	-0.0456660851469707	-1.68555602635523	0.0918813450057881	0.537272162547458	lost	FALSE	FALSE
OTU_1119	OTU_1180	0.648184653124247	0.536884872182678	-0.111299780941569	-4.41470307804077	1.01148724700202e-05	0.000414234320570328	lost	FALSE	FALSE
OTU_10842	OTU_11796	0.63693532932986	0.636729877396681	-0.000205451933179113	-0.00795101468759482	0.993656074980501	0.999999859947373	lost	FALSE	FALSE
OTU_1100	OTU_1182	0.633726825044165	0.651453199800225	0.0177263747560596	0.681338938390427	0.495657050196846	0.999999859947373	gained	FALSE	FALSE
OTU_1007	OTU_1193	0.719707531123435	0.737688747585222	0.0179812164617879	0.857987346748937	0.390899450391817	0.999999859947373	gained	FALSE	FALSE
OTU_1126	OTU_11952	0.604356452216075	0.606399776362447	0.00204332414637154	0.0740389328360813	0.940979406334661	0.999999859947373	gained	FALSE	FALSE
OTU_1	OTU_1191	0.762501713652261	0.774258598769419	0.0117568851171588	0.645996376896705	0.518281701812231	0.999999859947373	gained	FALSE	FALSE
OTU_1090	OTU_1191	0.6164574089582	0.637756248089638	0.0212988391314382	0.790143379241829	0.429444038508632	0.999999859947373	gained	FALSE	FALSE
OTU_1116	OTU_1191	0.676796090860709	0.694703778832894	0.0179076879721853	0.759994583049334	0.447257822836019	0.999999859947373	gained	FALSE	FALSE
OTU_11528	OTU_1191	0.609962812969989	0.59754855091644	-0.0124142620535488	-0.45470202079763	0.649323626870079	0.999999859947373	lost	FALSE	FALSE
OTU_1094	OTU_12	0.704488747778061	0.616797152020524	-0.0876915957575363	-4.00421739913748	6.22231241584612e-05	0.00193647023546153	lost	FALSE	FALSE
OTU_100	OTU_12052	0.620708389826698	0.580932203391643	-0.0397761864350543	-1.48823961914917	0.136687712283068	0.679664914598359	lost	FALSE	FALSE
OTU_1044	OTU_121	0.610180790223993	0.508196578065631	-0.101984212158362	-3.73699832673874	0.000186230162510376	0.00484769189791623	lost	FALSE	FALSE
OTU_1069	OTU_1211	0.673880536395017	0.670417293612382	-0.00346324278263488	-0.145918244122723	0.883985929016367	0.999999859947373	lost	FALSE	FALSE
OTU_10842	OTU_12127	0.640551778157057	0.638933163610869	-0.00161861454618839	-0.0631313379652587	0.949661919975481	0.999999859947373	lost	FALSE	FALSE
OTU_1005	OTU_123	0.627709669648233	0.636000074745757	0.00829040509752355	0.314662427286688	0.753017974779293	0.999999859947373	gained	FALSE	FALSE
OTU_107	OTU_123	0.643461922416899	0.694113992213655	0.0506520697967555	1.98819724591995	0.0467898794651545	0.34758563019421	gained	FALSE	FALSE
OTU_12	OTU_123	0.769125216307628	0.777792193579025	0.00866697727139776	0.48804561979706	0.625517528147088	0.999999859947373	gained	FALSE	FALSE
OTU_1	OTU_1230	0.688156027340464	0.700433542890437	0.0122775155499731	0.536399532646479	0.591682454339064	0.999999859947373	gained	FALSE	FALSE
OTU_1009	OTU_1225	0.644554623319287	0.741770528199669	0.0972159048803821	3.82511050579705	0.000130713441148146	0.00360878913144433	gained	FALSE	FALSE
OTU_108	OTU_12314	0.602809597356736	0.511340788436191	-0.0914688089205453	-3.30460974781133	0.000951087307258943	0.0183470868479129	lost	FALSE	FALSE
OTU_1056	OTU_1235	0.64277911845439	0.643123374019076	0.000344255564686646	0.0134925113907025	0.989234860104346	0.999999859947373	gained	FALSE	FALSE
