node_1	node_2	r_bg	r_new	X13_12N_N_N_2_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.698718022820802	0.0688866215596583	2.62615567018593	0.00863553138231958	0.144857971778536	gained	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.54792049691175	-0.0945950030550474	-3.70535086983497	0.000211098305185246	0.0086929709858311	lost	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.612296801438857	-0.00191208435259016	-0.070619222109814	0.943700811575192	0.999999920253609	lost	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.559790961371194	-0.110282927779636	-4.6034533818087	4.15542245624366e-06	0.000348062354836249	lost	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.702861363508135	-0.0260333588005404	-1.27747238044546	0.201435525353843	0.957266648942656	lost	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.706210731160991	6.19746814060074e-05	0.00284313650788588	0.9977315083323	0.999999920253609	gained	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.699852460254217	0.00292784979666638	0.130937308257204	0.895824901015094	0.999999920253609	gained	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.670491010820942	-0.00855868972021012	-0.36528663382604	0.714897454745349	0.999999920253609	lost	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.72731081575588	0.00688908860762527	0.329420991862196	0.741837503226351	0.999999920253609	gained	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.579918229199596	-0.0342802617728077	-1.26605072617977	0.205494921903632	0.965124285101744	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.778896088405548	0.0104932861777991	0.589284283758078	0.555670585853567	0.999999920253609	gained	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.603530868789119	0.000566212017716117	0.0204622696590711	0.983674610220297	0.999999920253609	gained	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.686025792519791	0.0741193207473588	2.72510366054533	0.00642813016273614	0.117480048368115	gained	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.807669644858923	0.0645527154855146	3.3157390753404	0.000914011237546326	0.0273736595604239	gained	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.687108835377545	0.0178955361714143	0.745439967495725	0.456005789892952	0.999999920253609	gained	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.69390524117955	-0.00507158509532901	-0.228078405098818	0.819585287912398	0.999999920253609	lost	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.578522097316994	-0.0321522508072061	-1.17928413354461	0.238285054046911	0.999999920253609	lost	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.677219924399599	0.0229055368928769	0.92123188401965	0.356929375206524	0.999999920253609	gained	FALSE	FALSE
OTU_1013	OTU_1138	0.697309750348405	0.543465038421292	-0.153844711927113	-6.88732966715357	5.68493776024679e-12	2.5812658332045e-09	lost	FALSE	FALSE
OTU_10015	OTU_115	0.607132513077956	0.504297655060107	-0.102834858017849	-3.74602276958863	0.0001796602914099	0.00765094357905366	lost	FALSE	FALSE
OTU_1138	OTU_115	0.615285790782808	0.176995558480164	-0.438290232302644	-16.2219115233693	3.53034232252738e-59	2.58741888630803e-54	lost	FALSE	FALSE
OTU_1041	OTU_1152	0.613272351839426	0.219931201847257	-0.393341149992168	-14.5005443590885	1.20192910030713e-47	4.05809888052754e-43	lost	FALSE	FALSE
OTU_1083	OTU_1158	0.652733284371751	0.557567881618463	-0.0951654027532878	-3.8136514050884	0.000136928573755793	0.00615212439140712	lost	FALSE	FALSE
OTU_11	OTU_1158	0.641868897926985	0.636551170450308	-0.0053177274766768	-0.208004819430213	0.835225204295764	0.999999920253609	lost	FALSE	FALSE
OTU_100	OTU_1162	0.622688307477664	0.620177393357335	-0.00251091412032822	-0.0943244593165751	0.924851420806808	0.999999920253609	lost	FALSE	FALSE
OTU_107	OTU_1159	0.62111511358666	0.632058103612455	0.0109429900257944	0.409772399563677	0.681972914666262	0.999999920253609	gained	FALSE	FALSE
OTU_1133	OTU_1159	0.606482609416807	0.621377832483131	0.0148952230663247	0.541919637962556	0.587873867710517	0.999999920253609	gained	FALSE	FALSE
OTU_1144	OTU_1159	0.6348453418243	0.648572666937836	0.0137273251135361	0.528883765388841	0.596886084621072	0.999999920253609	gained	FALSE	FALSE
OTU_1061	OTU_1171	0.617469488775199	0.548230073364975	-0.0692394154102239	-2.57382521092236	0.0100581071412363	0.161389349556459	lost	FALSE	FALSE
OTU_1118	OTU_1178	0.641399408855912	0.641512321966929	0.000112913111016688	0.00441211613729119	0.996479652075223	0.999999920253609	gained	FALSE	FALSE
OTU_1158	OTU_118	0.613897660178034	0.658912526500659	0.0450148663226248	1.66151924259503	0.0966092075271458	0.673966182625015	gained	FALSE	FALSE
OTU_1119	OTU_1180	0.648184653124247	0.600564768212774	-0.047619884911473	-1.88884156569	0.0589130613081576	0.51049333632603	lost	FALSE	FALSE
