node_1	node_2	r_bg	r_new	X14_1N_H_N_1_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.61791219006596	-0.0119192111951839	-0.454394530544185	0.649544888305351	0.999999988728317	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.458207745621685	-0.184307754345113	-7.21946060388182	5.21941862675108e-13	3.60774888698931e-11	lost	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.615030067736698	0.000821181945250493	0.0303288032798643	0.975804825438895	0.999999988728317	gained	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.767998677445413	0.0979247882945831	4.08759730008581	4.358638893121e-05	0.000699657971791776	gained	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.808893496621289	0.0799987743126133	3.92558737567631	8.65183566900616e-05	0.00128312304800825	gained	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.677659344485153	-0.0284894119944327	-1.30697383983198	0.191221596259893	0.668445848335601	lost	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.713906160802332	0.0169815503447817	0.759437350478693	0.447590977607469	0.999999988728317	gained	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.678390969641928	-0.000658730899223636	-0.0281147699754087	0.977570613993416	0.999999988728317	lost	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.733157823769624	0.0127360966213691	0.609011992793981	0.54251648970459	0.999999988728317	gained	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.598457363298641	-0.0157411276737636	-0.581356882696424	0.560999950780151	0.999999988728317	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.778082574427806	0.00967977220005734	0.543598786042882	0.586717595344626	0.999999988728317	gained	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.603312747020277	0.000348090248874278	0.0125795926531001	0.989963201955711	0.999999988728317	gained	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.657751431080591	0.0458449593081586	1.68555600845366	0.0918813484563857	0.410319218120137	gained	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.798350936570024	0.0552340071966157	2.8370852344786	0.00455274563483733	0.0390442157987528	gained	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.682329461099193	0.0131161618930621	0.54635475582178	0.584822104223133	0.999999988728317	gained	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.70276384348579	0.00378701721091157	0.170309051176524	0.864767093440229	0.999999988728317	gained	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.55359491778882	-0.0570794303353808	-2.09356623117635	0.0362986383581875	0.206982726252887	lost	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.738923928377877	0.0846095408711541	3.40288931481061	0.000666772863664825	0.00764261454414022	gained	FALSE	FALSE
OTU_1013	OTU_1138	0.697309750348405	0.59237415407674	-0.104935596271665	-4.69776332438839	2.63025964760406e-06	5.64488030070584e-05	lost	FALSE	FALSE
OTU_10015	OTU_115	0.607132513077956	0.34925895291779	-0.257873560160165	-9.39370410631769	5.79264734390484e-21	1.05136969150342e-18	lost	FALSE	FALSE
OTU_1138	OTU_115	0.615285790782808	0.466383541065408	-0.1489022497174	-5.51114066096367	3.56515660819842e-08	1.11957944424037e-06	lost	FALSE	FALSE
OTU_1041	OTU_1152	0.613272351839426	0.596904274916245	-0.0163680769231803	-0.603410107237125	0.546235900061038	0.999999988728317	lost	FALSE	FALSE
OTU_1083	OTU_1158	0.652733284371751	0.654026416164694	0.00129313179294299	0.051820869102045	0.9586714267522	0.999999988728317	gained	FALSE	FALSE
OTU_11	OTU_1158	0.641868897926985	0.651643062261288	0.00977416433430334	0.382319947074181	0.702224060850282	0.999999988728317	gained	FALSE	FALSE
OTU_100	OTU_1162	0.622688307477664	0.722937833319337	0.100249525841674	3.76595210692544	0.000165915596913661	0.00227705783929454	gained	FALSE	FALSE
OTU_107	OTU_1159	0.62111511358666	0.688521363817189	0.067406250230529	2.52410180740784	0.0115994330842158	0.0842175107883563	gained	FALSE	FALSE
OTU_1133	OTU_1159	0.606482609416807	0.638534937956222	0.0320523285394158	1.16613132952717	0.243561351487795	0.772480541297903	gained	FALSE	FALSE
OTU_1144	OTU_1159	0.6348453418243	0.520449544264396	-0.114395797559905	-4.40741948323803	1.04609468507894e-05	0.000195518996706901	lost	FALSE	FALSE
OTU_1061	OTU_1171	0.617469488775199	0.456502984095643	-0.160966504679557	-5.98358096185081	2.18284456910522e-09	8.53551394285147e-08	lost	FALSE	FALSE
OTU_1118	OTU_1178	0.641399408855912	0.657584687805117	0.016185278949205	0.632444981768258	0.527096148877135	0.999999988728317	gained	FALSE	FALSE
OTU_1158	OTU_118	0.613897660178034	0.485021166924421	-0.128876493253613	-4.75689013323636	1.96598095707864e-06	4.34014171253232e-05	lost	FALSE	FALSE
OTU_1119	OTU_1180	0.648184653124247	0.620031064657567	-0.02815358846668	-1.11671139520927	0.26411774400292	0.808625572674487	lost	FALSE	FALSE
OTU_10842	OTU_11796	0.63693532932986	0.638099040675218	0.00116371134535809	0.0450357699530449	0.964078797567822	0.999999988728317	gained	FALSE	FALSE
OTU_1100	OTU_1182	0.633726825044165	0.614577777979399	-0.0191490470647659	-0.736021413167738	0.461717666428222	0.999999988728317	lost	FALSE	FALSE
OTU_1007	OTU_1193	0.719707531123435	0.734691124723008	0.0149835935995738	0.714953504095931	0.474637774288725	0.999999988728317	gained	FALSE	FALSE
OTU_1126	OTU_11952	0.604356452216075	0.577458527135708	-0.0268979250803669	-0.974634236076373	0.329741724915345	0.909621217391155	lost	FALSE	FALSE
OTU_1	OTU_1191	0.762501713652261	0.775649040905616	0.0131473272533555	0.722395914130994	0.470051098243641	0.999999988728317	gained	FALSE	FALSE
OTU_1090	OTU_1191	0.6164574089582	0.654257315805084	0.0377999068468837	1.40229924958386	0.160825904416684	0.59928479947307	gained	FALSE	FALSE
OTU_1116	OTU_1191	0.676796090860709	0.69184469260955	0.0150486017488409	0.63865619220917	0.52304661731869	0.999999988728317	gained	FALSE	FALSE
OTU_11528	OTU_1191	0.609962812969989	0.59778989059344	-0.0121729223765489	-0.445862378267357	0.655696659651738	0.999999988728317	lost	FALSE	FALSE
OTU_1094	OTU_12	0.704488747778061	0.727619006254786	0.0231302584767252	1.05618540338959	0.290883518158686	0.852301343284614	gained	FALSE	FALSE
OTU_100	OTU_12052	0.620708389826698	0.414106808363043	-0.206601581463654	-7.73006882937657	1.07488450939691e-14	9.33807976317334e-13	lost	FALSE	FALSE
OTU_1044	OTU_121	0.610180790223993	0.598322209602693	-0.0118585806213	-0.43453290466647	0.663901505747852	0.999999988728317	lost	FALSE	FALSE
OTU_1069	OTU_1211	0.673880536395017	0.72063635043981	0.0467558140447931	1.96998209948022	0.0488404221318325	0.259110306749543	gained	FALSE	FALSE
OTU_10842	OTU_12127	0.640551778157057	0.638816072341605	-0.00173570581545235	-0.0676982859826798	0.946025813770637	0.999999988728317	lost	FALSE	FALSE
OTU_1005	OTU_123	0.627709669648233	0.598461601693004	-0.0292480679552295	-1.11011077842115	0.266951293190423	0.813481975474448	lost	FALSE	FALSE
OTU_107	OTU_123	0.643461922416899	0.585617091904872	-0.0578448305120266	-2.27052780224362	0.0231755783913935	0.146225458257488	lost	FALSE	FALSE
OTU_12	OTU_123	0.769125216307628	0.767752211520131	-0.00137300478749702	-0.077315187465612	0.938372809221327	0.999999988728317	lost	FALSE	FALSE
OTU_1	OTU_1230	0.688156027340464	0.693086260454111	0.00493023311364693	0.215399828021736	0.829455604077151	0.999999988728317	gained	FALSE	FALSE
OTU_1009	OTU_1225	0.644554623319287	0.736354639465212	0.0918000161459253	3.61201396648191	0.00030382819828196	0.00386363277653996	gained	FALSE	FALSE
OTU_108	OTU_12314	0.602809597356736	0.504293367988291	-0.0985162293684448	-3.55922085058936	0.000371956652673447	0.00460807417962841	lost	FALSE	FALSE
OTU_1056	OTU_1235	0.64277911845439	0.639987524335786	-0.00279159411860397	-0.109411783881451	0.912875887674495	0.999999988728317	lost	FALSE	FALSE
