node1	node2	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_1069	OTU_1211	0	0	0	0	0	-0.0815242595340102	0	0	0	0	0	0	0	0	0	-0.104652538002696
OTU_10842	OTU_12127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1005	OTU_123	-0.115082762200412	0.117957890206821	0	0	0	0	0	0	0	0	0	0	-0.096842789751953	0	0	0
OTU_107	OTU_123	0	0.117334576949245	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	OTU_123	0	0	0	0	0	0	0	0	-0.276910815588889	0	0	0	0	0	0	0
OTU_1	OTU_1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1009	OTU_1225	0.0836734611984444	0.100070674703955	0	0	0	0	0.0972159048803821	0	0	0.105776050142514	0.0918000161459253	0	0.0911725479211987	0	0	0.0844862121401604
OTU_108	OTU_12314	0	-0.087665402882832	0	0	0	0	-0.0914688089205453	0	-0.123465235163379	-0.0798826903921692	-0.0985162293684448	0	0	0	-0.0911167309684337	-0.0825499475946721
OTU_1056	OTU_1235	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146158750602267	0	0
OTU_1149	OTU_1235	0	0	-0.262990045406327	-0.108403076501751	-0.219269383153359	0	0	0	0	-0.16976043357143	0	0	0	0	0	0
OTU_12	OTU_1237	0	0	-0.135501675163256	0	0	0	0	-0.0946734826041604	0	-0.122792948515184	-0.22958402681369	0	0	0	-0.240410009130339	-0.126101981496375
OTU_100	OTU_1238	0	0	0	0	0	0	-0.204682382548357	0	-0.14199319396658	0	-0.0938675874345102	0	0	0	0	0
