node_1	node_2	r_bg	r_new	X13_18S_H_C_0_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.548145545791686	-0.0816858554694577	-3.11409919165978	0.00184507449758866	0.0208723909277266	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.492543155123904	-0.149972344842894	-5.87451916557822	4.24072417928837e-09	2.500895385087e-07	lost	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.54977721850219	-0.0644316672892579	-2.37966186849552	0.0173285305290741	0.123723363177717	lost	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.783510490232641	0.113436601081811	4.73509468223759	2.18952858949242e-06	6.52644194215819e-05	gained	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.780144691834133	0.0512499695254571	2.51486644766268	0.0119077482003584	0.0927460820069989	gained	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.719468255011045	0.0133194985314594	0.611042310866222	0.541171569823735	0.999999973033941	gained	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.581710395988249	-0.115214214469302	-5.15253177699045	2.56993052609636e-07	9.83764258915479e-06	lost	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.678421660931174	-0.000628039609978037	-0.0268048594513909	0.978615377330216	0.999999973033941	lost	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.736057932849802	0.0156362057015474	0.747688799569766	0.454647888563263	0.985399336992274	gained	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.620495536859317	0.0062970458869126	0.232564721084978	0.81609942467661	0.999999973033941	gained	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.760717200241934	-0.00768560198581447	-0.431609734521724	0.666025082188375	0.999999973033941	lost	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.603017524281894	5.28675104906062e-05	0.00191057275722632	0.998475584422145	0.999999973033941	gained	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.58286535068481	-0.029041121087622	-1.06773867574925	0.285638407239766	0.809071901684009	lost	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.804235040686808	0.0611181113133995	3.13932122558527	0.00169339705988903	0.0194561149717025	gained	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.397768675961454	-0.271444623244676	-11.307047142383	1.21096586688032e-29	1.43375209554816e-26	lost	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.697270372544161	-0.00170645373071754	-0.0767423276867517	0.938828531183626	0.999999973033941	lost	FALSE	FALSE
OTU_1056	OTU_1130	0.6106743481242	0.460194100680112	-0.150480247444089	-5.51933266777415	3.40289452659553e-08	1.62306094160801e-06	lost	FALSE	FALSE
OTU_1009	OTU_1132	0.654314387506723	0.747177634884342	0.0928632473776191	3.73484300926692	0.000187832322715578	0.00309297876630096	gained	FALSE	FALSE
OTU_1013	OTU_1138	0.697309750348405	0.687809584343739	-0.00950016600466597	-0.425304024735141	0.670615059973263	0.999999973033941	lost	FALSE	FALSE
OTU_10015	OTU_115	0.607132513077956	0.598938152814056	-0.00819436026389964	-0.298500534959191	0.765321167877658	0.999999973033941	lost	FALSE	FALSE
OTU_1138	OTU_115	0.615285790782808	0.617012866937069	0.00172707615426082	0.0639222015543215	0.949032174144382	0.999999973033941	gained	FALSE	FALSE
OTU_1041	OTU_1152	0.613272351839426	0.280165957542229	-0.333106394297197	-12.279986588992	1.16017491611466e-34	2.20787825837921e-31	lost	FALSE	FALSE
OTU_1083	OTU_1158	0.652733284371751	0.654137125064845	0.00140384069309452	0.0562574094875588	0.955136747375388	0.999999973033941	gained	FALSE	FALSE
OTU_11	OTU_1158	0.641868897926985	0.647997629890381	0.00612873196339603	0.239727551096512	0.810541474950794	0.999999973033941	gained	FALSE	FALSE
OTU_100	OTU_1162	0.622688307477664	0.551840161837243	-0.0708481456404208	-2.66146618755766	0.00778011546026608	0.0664553823378829	lost	FALSE	FALSE
