node_1	node_2	r_bg	r_new	X14_4N_H_N_2_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.621355527463398	-0.00847587379774561	-0.323124628988416	0.746600858660344	0.999999954049227	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.499613594594034	-0.142901905372764	-5.59756522303737	2.17383080958286e-08	1.3260223190261e-06	lost	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.558954330500819	-0.055254555290629	-2.04072257971367	0.0412784096895252	0.291381698261665	lost	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.61460509144448	-0.0554687977063504	-2.31539032855919	0.0205915803303173	0.176171787461831	lost	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.726114733154508	-0.00277998915416777	-0.136415719139305	0.891492647764372	0.999999954049227	lost	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.710433516400745	0.00428475992116018	0.196566679860267	0.844166647466082	0.999999954049227	gained	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.693521961475149	-0.00340264898240206	-0.152170954673671	0.879052101959904	0.999999954049227	lost	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.700685258601993	0.0216355580608413	0.923410058473125	0.355793551920464	0.999999954049227	gained	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.73446915874646	0.0140474315982057	0.671717133246804	0.501763791885315	0.999999954049227	gained	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.553509528361241	-0.0606889626111636	-2.24138618585198	0.0250010705491698	0.203315688841412	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.753385869774673	-0.015016932453076	-0.843324210825098	0.399047145904679	0.999999954049227	lost	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.602949995015825	-1.46617555778494e-05	-0.000529859464162352	0.999577233333932	0.999999954049227	lost	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.56926413330741	-0.0426423384650221	-1.56780703699832	0.11692617214185	0.582182148105379	lost	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.802385189040841	0.0592682596674325	3.0443039154693	0.00233219407893781	0.0321593571169127	gained	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.592819045491339	-0.0763942537147916	-3.18220865027672	0.00146156483615214	0.0219562872225492	lost	FALSE	FALSE
OTU_1049	OTU_11304	0.698976826274879	0.698792283906613	-0.000184542368265928	-0.00829920591611822	0.993378267746668	0.999999954049227	lost	FALSE	FALSE
