node_1	node_2	r_bg	r_new	X14_16S_H_C_1_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.467243340083378	-0.162588061177766	-6.19832340589885	5.70677870276596e-10	3.47606018287712e-08	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.362371520248352	-0.280143979718446	-10.9734309995711	5.1288503000951e-28	3.67823761738988e-25	lost	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.621687036115171	0.00747815032372345	0.27619135001352	0.782401100637281	0.99999990023457	gained	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.734619568753387	0.0645456796025565	2.69427945947583	0.00705409922294343	0.0588287184142965	gained	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.602469119616162	-0.126425602692514	-6.20377942232736	5.51230330943544e-10	3.36784326584564e-08	lost	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.682710421078234	-0.0234383354013509	-1.07525178914748	0.282262014421875	0.762004756021992	lost	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.723318871730131	0.0263942612725803	1.1803862098404	0.237846644122902	0.697634858862422	gained	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.679056115718335	6.41517718347195e-06	0.000273801078828052	0.999781538349201	0.99999990023457	gained	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.724476203589779	0.00405447644152468	0.193876102764974	0.846272895887358	0.99999990023457	gained	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.593597055093671	-0.0206014358787331	-0.760859500650184	0.446740990647672	0.927306512143361	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.751139718650558	-0.0172630835771905	-0.96946406196026	0.33231370272333	0.82318770048258	lost	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.603689046959655	0.000724390188252211	0.0261786520006958	0.979114843282194	0.99999990023457	gained	FALSE	FALSE
