node_1	node_2	r_bg	r_new	X14_23S_N_C_1_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1008	OTU_1019	0.629831401261144	0.62616794351704	-0.00366345774410315	-0.139661520761779	0.888927430344223	0.999999975646187	lost	FALSE	FALSE
OTU_1027	OTU_1051	0.642515499966798	0.491525892468684	-0.150989607498114	-5.91436603848521	3.33156255374051e-09	1.37345300293062e-06	lost	FALSE	FALSE
OTU_1020	OTU_1056	0.614208885791448	0.628283080590402	0.0140741947989547	0.51980378751481	0.60320033923399	0.999999975646187	gained	FALSE	FALSE
OTU_1005	OTU_107	0.67007388915083	0.594935039085657	-0.0751388500651733	-3.13646182960342	0.00170999694423034	0.0584787895210805	lost	FALSE	FALSE
OTU_1005	OTU_109	0.728894722308676	0.657162983744948	-0.0717317385637275	-3.51991902076786	0.000431678574018741	0.0215708351328152	lost	FALSE	FALSE
OTU_10	OTU_11	0.706148756479585	0.711257713996372	0.00510895751678697	0.234377382887313	0.814692015535067	0.999999975646187	gained	FALSE	FALSE
OTU_1033	OTU_11	0.696924610457551	0.669847792884722	-0.0270768175728288	-1.21091102869903	0.225929505330154	0.920891461098175	lost	FALSE	FALSE
OTU_10438	OTU_10975	0.679049700541152	0.686913597182162	0.00786389664100962	0.335632722607893	0.737147844928838	0.999999975646187	gained	FALSE	FALSE
OTU_1032	OTU_1107	0.720421727148255	0.642889231855875	-0.0775324952923798	-3.70743257279296	0.000209371137796852	0.0125577275856757	lost	FALSE	FALSE
OTU_10407	OTU_1109	0.614198490972404	0.575765635756338	-0.0384328552160664	-1.41941577278328	0.155777836667522	0.811110638379777	lost	FALSE	FALSE
OTU_1	OTU_1116	0.768402802227749	0.771742046625739	0.0033392443979906	0.18752602473821	0.851248220816972	0.999999975646187	gained	FALSE	FALSE
OTU_10555	OTU_11187	0.602964656771403	0.61395112550039	0.0109864687289875	0.397038704053446	0.691338919631018	0.999999975646187	gained	FALSE	FALSE
OTU_1065	OTU_1121	0.611906471772432	0.554713731486719	-0.0571927402857129	-2.10277353242971	0.0354855707203235	0.404756625958788	lost	FALSE	FALSE
OTU_1050	OTU_1122	0.743116929373408	0.47973519977057	-0.263381729602838	-13.5285570251624	1.06085581018493e-41	6.13037155053031e-37	lost	FALSE	FALSE
OTU_1010	OTU_1126	0.669213299206131	0.666501614547006	-0.00271168465912441	-0.112955437869767	0.910065884458536	0.999999975646187	lost	FALSE	FALSE
