logFC	adj.P.Val	name	group	Regulation
-0.0677460661905702	0.422902337799242	OTU_29-OTU_479	unwarming_vs_warming	NS
-0.105095312017859	0.422902337799242	OTU_2492-OTU_9320	unwarming_vs_warming	NS
0.110635932804807	0.422902337799242	OTU_706-OTU_91	unwarming_vs_warming	NS
0.227885208694396	0.422902337799242	OTU_306-OTU_835	unwarming_vs_warming	NS
0.10660323477518	0.422902337799242	OTU_1950-OTU_780	unwarming_vs_warming	NS
0.149821636715384	0.422902337799242	OTU_1342-OTU_191	unwarming_vs_warming	NS
0.105989429142365	0.422902337799242	OTU_1440-OTU_3805	unwarming_vs_warming	NS
-0.0619105296324559	0.422902337799242	OTU_463-OTU_479	unwarming_vs_warming	NS
0.0972223365517733	0.422902337799242	OTU_152-OTU_2969	unwarming_vs_warming	NS
0.103399756645507	0.422902337799242	OTU_116-OTU_262	unwarming_vs_warming	NS
0.115011610660858	0.422902337799242	OTU_1292-OTU_351	unwarming_vs_warming	NS
0.218830427136123	0.422902337799242	OTU_262-OTU_479	unwarming_vs_warming	NS
0.195959560602276	0.422902337799242	OTU_201-OTU_333	unwarming_vs_warming	NS
-0.0880551064265814	0.422902337799242	OTU_207-OTU_29	unwarming_vs_warming	NS
0.0720646205642561	0.422902337799242	OTU_4427-OTU_448	unwarming_vs_warming	NS
-0.0728803828309554	0.422902337799242	OTU_1132-OTU_1762	unwarming_vs_warming	NS
0.132075442682266	0.422902337799242	OTU_133-OTU_977	unwarming_vs_warming	NS
0.163582054450232	0.422902337799242	OTU_1492-OTU_2200	unwarming_vs_warming	NS
-0.0923395455650231	0.422902337799242	OTU_2182-OTU_89	unwarming_vs_warming	NS
0.0577617541128945	0.422902337799242	OTU_250-OTU_3559	unwarming_vs_warming	NS
0.119876649583396	0.422902337799242	OTU_1954-OTU_85	unwarming_vs_warming	NS
0.233816138173682	0.429184843972	OTU_1573-OTU_226	unwarming_vs_warming	NS
-0.076491271189754	0.429184843972	OTU_2711-OTU_483	unwarming_vs_warming	NS
0.0685153870849481	0.429184843972	OTU_51-OTU_744	unwarming_vs_warming	NS
0.0942084801983034	0.429184843972	OTU_136-OTU_97	unwarming_vs_warming	NS
0.123461306220981	0.429184843972	OTU_1238-OTU_165	unwarming_vs_warming	NS
0.125526158121784	0.429184843972	OTU_215-OTU_299	unwarming_vs_warming	NS
0.0763781727101464	0.429184843972	OTU_13031-OTU_4	unwarming_vs_warming	NS
0.135035263995179	0.444533671077389	OTU_1594-OTU_900	unwarming_vs_warming	NS
0.1102488766432	0.444533671077389	OTU_448-OTU_5628	unwarming_vs_warming	NS
0.135454046672888	0.447441521169827	OTU_212-OTU_29	unwarming_vs_warming	NS
0.148716716233345	0.458723310795402	OTU_126-OTU_212	unwarming_vs_warming	NS
-0.0569017093975439	0.470213993247629	OTU_117-OTU_29	unwarming_vs_warming	NS
0.142281010046755	0.473394284467255	OTU_113-OTU_1912	unwarming_vs_warming	NS
0.12250339469508	0.473394284467255	OTU_1342-OTU_457	unwarming_vs_warming	NS
0.0829695268384837	0.47413627567328	OTU_1139-OTU_1997	unwarming_vs_warming	NS
0.102768206909835	0.47413627567328	OTU_1342-OTU_429	unwarming_vs_warming	NS
0.116211702118485	0.47413627567328	OTU_12-OTU_1342	unwarming_vs_warming	NS
0.197031437341324	0.481727366395305	OTU_301-OTU_362	unwarming_vs_warming	NS
0.120817433236211	0.482846620557061	OTU_474-OTU_547	unwarming_vs_warming	NS
0.208766554374874	0.482846620557061	OTU_1255-OTU_1626	unwarming_vs_warming	NS
0.120632659493574	0.482846620557061	OTU_2490-OTU_533	unwarming_vs_warming	NS
0.049013932670891	0.485198891451478	OTU_3140-OTU_513	unwarming_vs_warming	NS
0.183657252958691	0.499252461174408	OTU_2200-OTU_388	unwarming_vs_warming	NS
0.0589659284311732	0.499252461174408	OTU_108-OTU_12314	unwarming_vs_warming	NS
0.0746368087684162	0.499252461174408	OTU_1978-OTU_25	unwarming_vs_warming	NS
0.133416051821498	0.499252461174408	OTU_1237-OTU_77	unwarming_vs_warming	NS
-0.0773239383367377	0.499252461174408	OTU_1225-OTU_691	unwarming_vs_warming	NS
-0.0555022120375315	0.499252461174408	OTU_31-OTU_321	unwarming_vs_warming	NS
0.0770753023964483	0.499252461174408	OTU_1342-OTU_2914	unwarming_vs_warming	NS
0.150060869284043	0.499252461174408	OTU_401-OTU_927	unwarming_vs_warming	NS
0.143107630777647	0.499252461174408	OTU_1342-OTU_16	unwarming_vs_warming	NS
0.0832777994934125	0.499252461174408	OTU_1292-OTU_738	unwarming_vs_warming	NS
0.122673298868374	0.499252461174408	OTU_123-OTU_262	unwarming_vs_warming	NS
0.0635900637976595	0.499252461174408	OTU_1109-OTU_1455	unwarming_vs_warming	NS
0.270182183310865	0.499252461174408	OTU_354-OTU_440	unwarming_vs_warming	NS
0.123644502646478	0.499252461174408	OTU_1329-OTU_277	unwarming_vs_warming	NS
0.149830146440068	0.509352791728038	OTU_1035-OTU_160	unwarming_vs_warming	NS
0.241164195846259	0.527575667286076	OTU_107-OTU_262	unwarming_vs_warming	NS
-0.0913922945820664	0.527575667286076	OTU_1938-OTU_3202	unwarming_vs_warming	NS
-0.0855721724930434	0.527575667286076	OTU_155-OTU_207	unwarming_vs_warming	NS
0.0829785818381105	0.527575667286076	OTU_362-OTU_4361	unwarming_vs_warming	NS
0.217840825456907	0.527575667286076	OTU_448-OTU_577	unwarming_vs_warming	NS
0.184630034265732	0.527575667286076	OTU_1788-OTU_357	unwarming_vs_warming	NS
-0.0921518918126005	0.527575667286076	OTU_306-OTU_342	unwarming_vs_warming	NS
0.13301517317223	0.545274160841843	OTU_223-OTU_479	unwarming_vs_warming	NS
0.168201855046865	0.545274160841843	OTU_262-OTU_457	unwarming_vs_warming	NS
0.11111984959267	0.545274160841843	OTU_1329-OTU_22	unwarming_vs_warming	NS
0.0762632509942703	0.545274160841843	OTU_2632-OTU_77	unwarming_vs_warming	NS
0.0991884430747077	0.545274160841843	OTU_165-OTU_1954	unwarming_vs_warming	NS
0.146498719591537	0.546990279315372	OTU_35878-OTU_415	unwarming_vs_warming	NS
-0.0763588796211169	0.546990279315372	OTU_1950-OTU_688	unwarming_vs_warming	NS
0.111997714441908	0.546990279315372	OTU_16-OTU_905	unwarming_vs_warming	NS
0.097192872078719	0.546990279315372	OTU_1595-OTU_32	unwarming_vs_warming	NS
0.256144731669238	0.546990279315372	OTU_1324-OTU_189	unwarming_vs_warming	NS
-0.0887382941897696	0.546990279315372	OTU_362-OTU_843	unwarming_vs_warming	NS
0.175847922156024	0.546990279315372	OTU_777-OTU_843	unwarming_vs_warming	NS
-0.0898218545562305	0.546990279315372	OTU_1001-OTU_342	unwarming_vs_warming	NS
0.200939891494104	0.546990279315372	OTU_1329-OTU_85	unwarming_vs_warming	NS
0.0943251699542296	0.546990279315372	OTU_3547-OTU_820	unwarming_vs_warming	NS
0.0753506218660331	0.546990279315372	OTU_1038-OTU_925	unwarming_vs_warming	NS
0.17061848269256	0.546990279315372	OTU_163-OTU_72	unwarming_vs_warming	NS
0.100164943446668	0.546990279315372	OTU_531-OTU_753	unwarming_vs_warming	NS
0.101388482464924	0.546990279315372	OTU_1138-OTU_2001	unwarming_vs_warming	NS
0.134102201130724	0.546990279315372	OTU_1595-OTU_54	unwarming_vs_warming	NS
0.184118536147542	0.546990279315372	OTU_85-OTU_977	unwarming_vs_warming	NS
0.197138197230605	0.546990279315372	OTU_49-OTU_814	unwarming_vs_warming	NS
-0.0591843666468076	0.546990279315372	OTU_1296-OTU_4	unwarming_vs_warming	NS
-0.0882543787928231	0.546990279315372	OTU_1132-OTU_2714	unwarming_vs_warming	NS
0.177539030888895	0.546990279315372	OTU_1329-OTU_16	unwarming_vs_warming	NS
-0.0980881897749825	0.546990279315372	OTU_299-OTU_42	unwarming_vs_warming	NS
0.160495934029468	0.546990279315372	OTU_168-OTU_72	unwarming_vs_warming	NS
-0.0997882250240036	0.546990279315372	OTU_1211-OTU_441	unwarming_vs_warming	NS
-0.0945589669406846	0.546990279315372	OTU_13256-OTU_2778	unwarming_vs_warming	NS
0.0949646448143354	0.546990279315372	OTU_12-OTU_1237	unwarming_vs_warming	NS
-0.0656426840526522	0.546990279315372	OTU_321-OTU_58	unwarming_vs_warming	NS
0.0789602707756501	0.546990279315372	OTU_1035-OTU_195	unwarming_vs_warming	NS
0.112987447866963	0.546990279315372	OTU_152-OTU_725	unwarming_vs_warming	NS
-0.0421686595916201	0.546990279315372	OTU_26-OTU_4	unwarming_vs_warming	NS
0.115324310977284	0.546990279315372	OTU_1973-OTU_199	unwarming_vs_warming	NS
0.163944826236151	0.546990279315372	OTU_133-OTU_262	unwarming_vs_warming	NS
0.148708666318131	0.546990279315372	OTU_262-OTU_77	unwarming_vs_warming	NS
-0.0623587245339735	0.546990279315372	OTU_1441-OTU_394	unwarming_vs_warming	NS
0.105588139550928	0.546990279315372	OTU_16-OTU_4472	unwarming_vs_warming	NS
0.138002500163342	0.546990279315372	OTU_128-OTU_519	unwarming_vs_warming	NS
0.11127554362009	0.546990279315372	OTU_124-OTU_3968	unwarming_vs_warming	NS
0.0808420646676322	0.546990279315372	OTU_31-OTU_667	unwarming_vs_warming	NS
0.086295572149071	0.546990279315372	OTU_188-OTU_51	unwarming_vs_warming	NS
-0.0909075542567032	0.546990279315372	OTU_1626-OTU_1954	unwarming_vs_warming	NS
0.134385125691185	0.546990279315372	OTU_299-OTU_707	unwarming_vs_warming	NS
0.151235793710782	0.546990279315372	OTU_31-OTU_703	unwarming_vs_warming	NS
0.107005440971071	0.546990279315372	OTU_1035-OTU_420	unwarming_vs_warming	NS
0.186415535287284	0.546990279315372	OTU_147-OTU_306	unwarming_vs_warming	NS
0.0746627645002282	0.546990279315372	OTU_320-OTU_99	unwarming_vs_warming	NS
-0.0817955528798674	0.546990279315372	OTU_584-OTU_793	unwarming_vs_warming	NS
0.128747316492057	0.546990279315372	OTU_226-OTU_670	unwarming_vs_warming	NS
-0.0656548893972852	0.546990279315372	OTU_1423-OTU_5841	unwarming_vs_warming	NS
0.114194120802465	0.546990279315372	OTU_1329-OTU_990	unwarming_vs_warming	NS
0.2699440536177	0.546990279315372	OTU_367-OTU_584	unwarming_vs_warming	NS
0.0644532027342392	0.546990279315372	OTU_1035-OTU_398	unwarming_vs_warming	NS
0.229954984343351	0.546990279315372	OTU_1756-OTU_385	unwarming_vs_warming	NS
