logFC	adj.P.Val	name	group	Regulation
-0.318556724019054	0.0812058770815366	OTU_250	unwarming_vs_warming	NS
0.169517352377704	0.0812058770815366	OTU_5214	unwarming_vs_warming	NS
-1.34226706938377	0.0812058770815366	OTU_277	unwarming_vs_warming	NS
-0.2298448422779	0.0812058770815366	OTU_56	unwarming_vs_warming	NS
-0.686246355630879	0.0812058770815366	OTU_848	unwarming_vs_warming	NS
-0.349733793289687	0.0812058770815366	OTU_99	unwarming_vs_warming	NS
-1.64012122805101	0.0812058770815366	OTU_905	unwarming_vs_warming	NS
-1.08139775125323	0.104618893607673	OTU_306	unwarming_vs_warming	NS
-0.193954657428135	0.104618893607673	OTU_4449	unwarming_vs_warming	NS
-1.15443299468251	0.104618893607673	OTU_333	unwarming_vs_warming	NS
-1.22206547662304	0.104618893607673	OTU_58	unwarming_vs_warming	NS
-1.89253484847371	0.143966011979692	OTU_479	unwarming_vs_warming	NS
-0.505533458342596	0.148438399134769	OTU_168	unwarming_vs_warming	NS
0.170155723343902	0.148438399134769	OTU_9320	unwarming_vs_warming	NS
-0.118817752349573	0.148438399134769	OTU_3920	unwarming_vs_warming	NS
-0.0952060372333644	0.148438399134769	OTU_395	unwarming_vs_warming	NS
-0.197295116768346	0.211034578461213	OTU_1006	unwarming_vs_warming	NS
-0.282006453387257	0.217893850209719	OTU_1595	unwarming_vs_warming	NS
-0.726250876231483	0.217893850209719	OTU_158	unwarming_vs_warming	NS
-0.733540595685716	0.217893850209719	OTU_26	unwarming_vs_warming	NS
-0.837982637188371	0.217893850209719	OTU_519	unwarming_vs_warming	NS
-0.202043076283947	0.217893850209719	OTU_1163	unwarming_vs_warming	NS
-0.103302309577823	0.217893850209719	OTU_2212	unwarming_vs_warming	NS
-0.803186542814347	0.217893850209719	OTU_220	unwarming_vs_warming	NS
-0.683188807844224	0.217893850209719	OTU_1255	unwarming_vs_warming	NS
-0.387019797734529	0.217893850209719	OTU_136	unwarming_vs_warming	NS
-0.664731908612585	0.217893850209719	OTU_1035	unwarming_vs_warming	NS
-0.234454507183109	0.217893850209719	OTU_1768	unwarming_vs_warming	NS
-0.139394934428347	0.25536879870748	OTU_752	unwarming_vs_warming	NS
-0.14837675373394	0.25536879870748	OTU_305	unwarming_vs_warming	NS
-0.236360639688738	0.263606927273147	OTU_588	unwarming_vs_warming	NS
-0.253640103838423	0.263606927273147	OTU_1238	unwarming_vs_warming	NS
-0.516696358833197	0.263606927273147	OTU_169	unwarming_vs_warming	NS
-0.372737912409533	0.263606927273147	OTU_820	unwarming_vs_warming	NS
-0.0989799464613964	0.263606927273147	OTU_3948	unwarming_vs_warming	NS
-0.575416531764394	0.263606927273147	OTU_1978	unwarming_vs_warming	NS
-2.03005000328676	0.263606927273147	OTU_977	unwarming_vs_warming	NS
-0.391649380706034	0.263606927273147	OTU_440	unwarming_vs_warming	NS
-0.690582951394117	0.263606927273147	OTU_226	unwarming_vs_warming	NS
-0.148349565230184	0.263606927273147	OTU_2311	unwarming_vs_warming	NS
-2.73860846205783	0.263606927273147	OTU_1342	unwarming_vs_warming	NS
-0.574278937800016	0.263606927273147	OTU_445	unwarming_vs_warming	NS
-0.765453270618292	0.263606927273147	OTU_36	unwarming_vs_warming	NS
-0.377227703650796	0.263606927273147	OTU_91	unwarming_vs_warming	NS
-1.00854618761829	0.266116088706521	OTU_367	unwarming_vs_warming	NS
-0.265326421405721	0.274767826039207	OTU_427	unwarming_vs_warming	NS
-0.150716182208688	0.288003055024624	OTU_2842	unwarming_vs_warming	NS
-1.15382516643941	0.288003055024624	OTU_990	unwarming_vs_warming	NS
-2.92023789131768	0.291411984761621	OTU_1329	unwarming_vs_warming	NS
-0.160723345043336	0.291411984761621	OTU_2641	unwarming_vs_warming	NS
-0.838102676735153	0.291411984761621	OTU_2200	unwarming_vs_warming	NS
-0.312244726187548	0.291411984761621	OTU_281	unwarming_vs_warming	NS
0.159623004075204	0.291411984761621	OTU_41654	unwarming_vs_warming	NS
-0.33959901895046	0.291411984761621	OTU_134	unwarming_vs_warming	NS
0.220283629560386	0.291411984761621	OTU_2778	unwarming_vs_warming	NS
-1.89369582649245	0.291411984761621	OTU_107	unwarming_vs_warming	NS
-0.536517999473714	0.291411984761621	OTU_88	unwarming_vs_warming	NS
-0.116161730801892	0.291411984761621	OTU_96	unwarming_vs_warming	NS
-0.575232025143372	0.291411984761621	OTU_316	unwarming_vs_warming	NS
-2.29837016851217	0.291411984761621	OTU_362	unwarming_vs_warming	NS
