"","X09_10S_H_C_1","X09_11S_N_C_0","X09_12S_N_C_2","X09_13S_N_C_0","X09_14S_N_C_2","X09_15S_H_C_0","X09_16S_H_C_1","X09_17S_N_C_2","X09_18S_H_C_0","X09_19S_N_C_1","X09_1S_H_C_1","X09_20S_H_C_1","X09_21S_H_C_2","X09_22S_H_C_2","X09_23S_N_C_1","X09_24S_N_C_0","X09_2S_H_C_0","X09_3S_N_C_1","X09_4S_H_C_2","X09_5S_H_C_0","X09_6S_N_C_1","X09_7S_H_C_2","X09_8S_N_C_0","X09_9S_N_C_2","X13_12N_N_N_2","X13_18S_H_C_0","X13_22N_H_N_2","X13_23N_N_N_1","X13_3N_N_N_1","X13_4S_H_C_2","X13_6N_N_N_1","X13_8N_N_N_0","X14_15N_H_N_0","X14_16S_H_C_1","X14_1N_H_N_1","X14_23S_N_C_1","X14_3N_N_N_1","X14_3S_N_C_1","X14_4N_H_N_2","X14_4S_H_C_2"
"OTU_468",5,0,9,8,4,5,0,11,2,1,1,3,3,48,2,1,0,0,0,1,1,0,0,2,13,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0
"OTU_469",0,0,0,1,0,1,0,2,3,0,1,3,0,0,1,2,0,0,0,1,2,0,10,2,65,20,0,0,2,1,33,0,14,0,0,0,0,15,0,25
"OTU_470",18,1,0,13,12,5,68,7,31,3,1,13,11,20,11,21,1,1,2,6,8,9,8,22,0,0,0,1,0,4,2,0,0,0,0,0,0,5,0,0
"OTU_472",0,0,2,6,2,2,1,1,2,11,0,0,1,0,3,0,0,0,0,2,2,3,4,11,3,0,3,0,6,1,0,15,0,0,0,0,0,2,0,0
"OTU_477",3,0,32,1,1,3,18,10,1,0,3,1,0,0,3,4,1,0,0,2,4,1,8,1,0,0,0,4,1,0,0,5,0,0,0,0,3,0,0,0
"OTU_478",2,3,4,1,0,3,2,1,3,9,2,2,0,2,4,1,2,2,0,3,4,1,2,7,1,0,0,0,1,1,3,0,2,9,0,0,4,0,1,15
"OTU_498",3,4,13,4,1,22,7,4,2,1,0,6,1,2,9,5,0,4,0,2,1,1,3,14,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
"OTU_510",0,2,1,0,1,2,0,0,0,3,0,1,0,2,3,0,0,1,2,0,1,0,0,0,5,1,1,0,3,4,1,1,1,6,0,0,4,5,7,4
"OTU_514",0,1,12,0,0,0,10,2,0,0,0,0,0,0,0,3,0,1,0,2,1,0,2,3,8,0,2,0,1,1,4,0,1,0,0,0,1,3,1,9
"OTU_519",9,1,6,0,0,0,1,0,1,0,0,1,0,1,1,0,1,4,0,0,0,2,1,2,30,0,0,0,4,5,3,0,5,4,1,0,0,0,1,18
"OTU_521",5,1,117,2,0,8,3,0,4,9,1,22,10,0,0,9,6,3,5,0,0,3,1,13,0,1,3,0,26,3,2,0,1,0,0,0,7,0,2,4
"OTU_522",3,1,5,0,2,23,0,2,2,0,0,0,0,0,0,0,0,3,6,23,1,2,1,1,2,0,3,5,5,2,1,0,1,0,1,0,0,1,0,1
"OTU_523",3,0,7,0,3,1,0,2,7,5,1,0,1,0,2,8,1,2,2,1,1,1,1,3,7,0,0,1,8,4,1,2,0,1,0,0,3,0,0,2
"OTU_528",6,1,1,9,12,1,7,12,104,5,2,11,38,8,5,13,1,1,0,0,9,6,5,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_541",2,3,13,3,1,13,0,8,1,0,0,9,4,0,5,3,0,2,3,1,2,4,4,1,1,0,0,30,0,0,3,0,0,0,0,1,0,0,0,1
"OTU_549",0,0,15,0,0,1,0,7,2,2,1,0,0,0,0,1,1,2,1,0,5,0,2,8,1,3,0,0,5,3,0,0,8,0,0,0,1,0,7,0
"OTU_555",2,7,3,4,0,1,3,1,3,0,4,1,0,0,2,7,1,3,2,15,33,0,0,6,0,0,0,1,2,1,0,1,0,0,0,0,1,0,2,0
"OTU_564",2,9,1,9,14,5,43,2,26,6,93,8,12,28,4,8,7,8,2,1,2,0,0,3,0,0,0,0,0,0,11,0,0,1,0,0,0,0,7,0
"OTU_576",0,12,10,16,4,1,2,13,3,19,0,6,14,6,1,32,1,2,0,5,5,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_611",3,14,0,0,4,4,17,1,24,0,6,0,0,5,1,1,2,2,1,5,2,5,113,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_615",1,3,3,0,0,0,0,0,0,3,1,0,0,0,0,0,3,3,0,1,2,1,1,3,0,1,0,0,5,5,4,1,0,0,1,0,6,3,7,11
"OTU_617",1,1,0,0,2,1,1,1,0,3,0,2,23,21,3,0,4,0,0,0,4,3,0,6,3,1,0,1,0,1,0,2,0,2,0,2,0,2,0,0
"OTU_643",0,1,6,24,2,0,1,0,0,2,0,1,3,0,0,0,0,1,0,2,4,1,36,11,1,0,0,0,4,1,3,0,3,9,0,0,5,10,1,0
