"","X09_10S_H_C_1","X09_11S_N_C_0","X09_12S_N_C_2","X09_13S_N_C_0","X09_14S_N_C_2","X09_15S_H_C_0","X09_16S_H_C_1","X09_17S_N_C_2","X09_18S_H_C_0","X09_19S_N_C_1","X09_1S_H_C_1","X09_20S_H_C_1","X09_21S_H_C_2","X09_22S_H_C_2","X09_23S_N_C_1","X09_24S_N_C_0","X09_2S_H_C_0","X09_3S_N_C_1","X09_4S_H_C_2","X09_5S_H_C_0","X09_6S_N_C_1","X09_7S_H_C_2","X09_8S_N_C_0","X09_9S_N_C_2","X13_12N_N_N_2","X13_18S_H_C_0","X13_22N_H_N_2","X13_23N_N_N_1","X13_3N_N_N_1","X13_4S_H_C_2","X13_6N_N_N_1","X13_8N_N_N_0","X14_15N_H_N_0","X14_16S_H_C_1","X14_1N_H_N_1","X14_23S_N_C_1","X14_3N_N_N_1","X14_3S_N_C_1","X14_4N_H_N_2","X14_4S_H_C_2"
"OTU_107",6,2,1,6,8,16,12,11,23,6,4,7,12,3,9,35,2,2,2,5,2,5,138,7,2,0,12,2,0,16,4,2,9,1,4,1,0,3,23,6
"OTU_110",62,44,1,18,1,0,28,1,2,4,1,7,11,0,9,9,20,87,1,7,2,2,69,102,83,0,1,2,156,6,17,7,0,0,0,0,77,61,0,6
"OTU_111",1,1,9,0,3,0,0,3,5,31,2,0,2,0,0,1,17,0,1,159,0,1,0,1,1,0,0,6,0,1,3,0,0,0,0,0,0,1,0,0
"OTU_114",7,14,22,33,33,13,7,19,20,130,2,23,3,20,77,39,34,6,7,4,28,0,8,32,4,79,10,5,65,33,14,1,1,60,0,1,31,0,4,0
"OTU_116",4,46,9,15,11,14,70,16,51,4,74,10,9,6,8,38,2,13,7,16,4,6,126,16,0,0,0,22,3,0,0,26,9,0,0,0,0,0,0,0
"OTU_120",24,22,62,48,17,21,10,13,12,37,4,8,9,7,19,10,1,17,6,4,37,14,26,54,21,2,3,2,13,12,50,7,1,0,0,4,26,18,5,5
"OTU_121",12,1,2,23,6,3,16,4,5,11,8,14,0,0,1,0,0,2,11,3,7,0,26,12,0,42,2,1,28,44,140,1,276,28,0,3,7,21,6,47
"OTU_122",4,69,16,21,13,68,53,16,118,5,12,10,33,17,16,21,4,1,10,4,6,1,51,11,1,0,0,93,1,1,0,5,2,0,0,2,3,1,1,0
"OTU_123",6,0,11,5,0,4,0,7,0,21,0,1,3,9,4,0,1,3,0,0,1,7,2,13,22,7,3,3,9,36,34,3,4,30,0,0,36,7,29,90
"OTU_124",0,1,3,14,8,1,3,1,0,22,2,6,9,2,2,0,1,4,5,2,9,0,9,2,0,6,0,0,5,7,13,2,117,14,0,2,7,26,0,11
"OTU_125",10,0,1,0,4,26,0,0,0,0,3,0,1,0,0,2,0,13,1,1,41,1,1,0,57,0,0,1,2,1,2,10,2,0,0,0,39,12,0,0
"OTU_130",13,3,11,6,16,9,4,19,12,11,3,3,9,11,73,12,7,5,1,4,3,2,5,18,8,13,13,3,16,16,15,2,17,140,0,6,12,11,8,17
"OTU_133",2,0,1,3,5,6,2,4,1,0,1,4,1,1,7,4,1,0,0,1,6,1,6,7,14,3,0,3,37,12,5,1,6,4,0,3,10,19,2,11
"OTU_135",3,42,1,3,10,8,6,9,4,0,11,3,3,0,0,2,12,1,2,0,10,3,4,36,1,2,1,10,13,3,5,0,3,0,0,0,1,13,0,8
"OTU_138",1,4,63,3,1,2,4,173,144,3,14,38,9,11,14,7,2,0,3,4,1,11,9,5,0,1,0,3,9,0,17,5,0,0,0,2,15,10,4,0
"OTU_139",1,0,2,0,1,0,0,7,5,51,1,10,17,9,1,0,1,0,0,0,5,1,0,7,2,273,0,0,1,3,0,1,101,30,0,0,2,0,3,0
"OTU_140",5,42,21,0,3,6,2,21,390,2,2,4,1,0,3,4,2,0,1,3,0,0,31,7,3,0,8,5,1,4,3,3,6,0,0,0,1,0,6,1
"OTU_143",0,0,2,19,0,2,10,1,1,5,0,9,9,0,1,5,0,1,3,0,0,1,7,3,112,84,5,4,1,9,2,0,0,0,0,2,28,33,0,64
"OTU_144",8,2,52,16,15,38,2,5,7,6,2,9,2,5,5,3,82,7,3,0,6,9,30,12,6,0,2,0,10,8,16,0,0,0,0,0,9,4,10,0
"OTU_145",5,5,52,8,6,10,7,49,10,52,12,1,16,0,7,12,3,11,2,5,19,2,7,19,0,0,17,7,0,0,1,1,0,0,0,15,1,2,0,0
"OTU_147",1,6,3,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,45,128,16,2,5,40,88,0,31,417,0,0,53,8,23,150
"OTU_151",6,27,25,46,17,3,2,2,0,49,2,11,81,27,375,15,4,3,0,1,28,16,70,104,0,0,2,17,21,1,0,4,0,15,0,10,13,10,1,1
"OTU_153",64,6,3,6,0,33,0,0,14,0,8,0,0,0,0,7,2,12,5,25,0,39,4,1,2,33,5,1,8,20,46,8,8,1,0,0,0,15,3,0
"OTU_154",1,0,2,32,1,15,0,0,0,1,1,15,0,1,0,0,3,13,0,0,18,1,2,1,0,4,0,0,63,10,0,4,19,1,8,0,15,1,9,22
"OTU_156",3,4,1,6,3,9,0,17,16,1,10,0,4,2,3,7,8,0,6,11,1,4,300,5,4,4,3,2,2,5,8,0,19,1,719,1,1,0,68,8
"OTU_159",6,13,24,8,26,12,2,1,1,39,11,1,6,3,0,1,8,3,3,1,15,35,2,10,17,0,1,0,25,31,21,12,1,6,2,0,40,22,56,59
"OTU_161",4,9,1,0,2,8,0,0,0,8,0,34,2,30,2,7,0,1,0,4,10,0,2,7,0,0,1,0,0,117,33,0,120,19,0,0,0,0,25,1
"OTU_162",71,45,71,34,14,17,7,29,4,20,3,7,19,3,3,11,3,1,4,6,11,1,26,153,2,1,8,11,13,0,0,0,0,0,0,0,0,9,0,0
"OTU_164",49,11,14,10,25,5,40,20,13,4,12,39,42,3,11,13,0,7,0,25,19,1,22,30,7,5,5,5,3,0,0,0,1,0,0,13,0,0,0,2
"OTU_166",11,4,14,13,14,22,6,6,5,12,7,7,64,7,11,43,9,4,4,6,21,8,15,32,12,26,0,3,5,12,9,9,5,1,1,3,8,4,5,2
"OTU_170",29,4,11,5,2,12,2,4,6,6,0,0,0,3,7,10,3,8,0,2,9,1,1,26,7,3,3,0,22,8,5,0,4,72,0,1,19,3,8,43
"OTU_173",24,35,25,5,3,12,2,7,0,7,0,15,0,0,14,2,4,3,4,1,4,2,6,20,30,0,3,0,19,8,4,8,14,3,0,2,7,4,17,30
"OTU_174",0,1,0,1,11,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,4,2,1,0,1,2,4,0,321,8,1,0,7,0,8,74
"OTU_179",2,12,4,11,18,0,32,2,0,3,2,14,7,2,5,6,3,1,0,2,7,4,3,15,1,4,4,1,29,6,5,0,0,0,0,5,15,0,1,0
"OTU_183",4,11,1,0,1,0,4,8,0,9,0,19,103,9,8,5,4,0,0,0,11,0,0,26,0,55,0,0,0,7,0,0,0,2,0,2,5,1,4,0
"OTU_191",24,12,20,0,2,24,0,0,0,0,1,0,1,0,2,2,6,5,0,0,1,12,2,0,25,0,5,1,24,14,6,3,0,0,0,1,11,2,0,13
"OTU_193",54,0,2,3,15,2,107,0,24,14,2,0,8,3,4,10,0,0,1,0,1,0,0,0,1,11,5,4,0,0,0,0,0,0,3,0,0,92,0,0
"OTU_194",1,0,2,0,1,0,1,2,0,1,2,1,3,0,1,3,5,0,0,0,19,1,0,1,6,3,0,3,19,8,8,2,1,0,0,0,7,5,1,2
"OTU_195",147,1,1,4,11,1,9,5,0,1,1,1,2,0,7,0,6,0,6,0,18,5,2,49,3,4,0,0,13,9,14,0,2,14,0,0,21,1,32,1
"OTU_209",7,0,4,7,3,2,3,0,0,3,0,0,1,7,6,2,4,0,0,2,5,5,7,3,12,1,3,3,13,1,6,0,0,0,0,0,11,5,2,0
"OTU_213",4,2,3,12,5,7,2,6,36,6,3,0,4,3,1,5,5,3,2,30,1,10,6,4,38,0,0,29,3,2,1,0,0,0,0,2,0,0,0,0
"OTU_214",6,1,0,3,4,20,132,8,0,1,0,7,0,17,0,7,0,25,3,31,5,1,5,3,4,0,0,0,6,3,2,1,1,0,0,0,1,0,0,5
"OTU_220",1,1,24,19,7,2,37,0,1,0,0,0,0,0,0,0,1,1,0,2,12,0,18,0,7,0,0,0,4,0,626,0,36,203,0,0,1,3,0,0
"OTU_221",8,2,7,2,2,6,1,2,7,5,1,0,2,1,3,2,4,9,1,2,1,8,3,5,7,14,3,0,10,19,14,4,6,50,0,0,12,2,2,14
"OTU_223",0,3,4,0,0,8,1,1,0,0,0,0,0,4,2,0,0,2,5,1,2,2,0,5,92,0,0,0,13,17,36,0,0,0,0,1,1,4,0,16
"OTU_228",2,4,3,5,22,2,6,9,2,1,3,2,18,0,3,5,0,3,0,0,8,0,3,0,13,1,2,19,66,45,17,1,9,0,0,1,64,4,19,5
"OTU_231",3,0,4,3,0,1,0,1,1,3,2,2,1,0,1,0,0,3,0,2,3,1,0,5,12,10,4,0,13,23,5,4,24,30,1,2,17,3,6,17
"OTU_234",1,2,0,1,0,0,1,14,0,49,20,3,1,1,1,0,0,1,2,0,0,0,13,0,3,0,5,0,0,29,0,0,0,1,0,4,0,0,0,48
"OTU_236",2,2,4,2,5,3,0,5,1,1,1,8,3,2,1,5,0,1,0,2,0,1,13,1,2,2,0,13,3,6,2,0,0,1,0,0,0,1,2,7
"OTU_239",5,0,13,1,3,10,2,0,9,4,0,2,3,0,0,1,0,12,5,1,3,7,2,4,109,0,1,0,8,5,0,3,0,1,0,0,80,14,0,6
"OTU_247",6,5,16,7,0,1,2,8,0,1,0,2,0,7,8,0,0,0,0,0,0,1,3,10,3,3,2,9,0,0,2,8,0,0,0,7,0,3,0,2
"OTU_248",8,5,34,25,12,2,6,7,22,12,3,6,10,20,11,8,3,7,7,9,5,10,15,39,0,0,0,0,10,0,1,0,9,1,0,0,5,0,1,20
"OTU_259",1,0,9,4,5,30,21,0,7,5,0,2,1,1,0,4,4,3,1,14,7,0,33,1,1,0,5,0,1,6,0,0,3,9,0,0,2,0,0,1
"OTU_261",7,9,5,13,41,9,2,8,15,12,0,8,2,6,22,8,3,1,1,3,9,12,11,73,0,0,1,1,1,3,4,0,7,0,0,0,1,0,0,5
"OTU_266",21,16,1,3,5,12,4,12,8,0,1,1,5,3,7,11,2,1,4,24,0,3,15,19,3,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0
"OTU_272",4,0,0,0,2,2,0,2,1,1,0,1,2,0,4,1,0,11,0,0,1,0,1,2,26,20,7,3,4,6,58,0,0,0,0,0,0,3,0,0
"OTU_275",1,2,2,8,1,2,0,1,0,0,1,0,0,0,0,10,2,6,0,4,2,0,1,23,3,3,1,2,67,2,3,3,2,10,0,2,2,1,3,13
"OTU_282",9,15,7,7,30,4,65,16,52,7,3,4,50,3,26,18,1,2,2,7,3,3,12,24,1,0,0,4,0,1,3,1,0,0,0,1,0,0,0,1
"OTU_283",2,1,5,1,0,1,0,2,2,0,0,1,0,9,0,3,1,0,0,0,16,2,2,33,2,4,0,0,0,3,3,1,20,2,0,0,0,6,1,1
"OTU_285",4,3,41,2,1,9,2,5,1,0,0,0,4,1,2,5,7,0,1,0,0,4,22,3,1,0,0,0,3,5,0,5,0,0,0,0,0,4,0,12
"OTU_292",4,5,4,37,8,6,9,23,0,10,0,39,18,8,22,11,5,1,1,4,22,3,16,3,3,2,0,0,1,3,2,1,0,0,0,0,0,0,0,0
"OTU_294",0,1,0,4,0,2,3,1,18,16,0,1,5,1,3,0,1,8,6,0,0,0,10,0,0,0,0,9,0,0,0,13,1,0,1,1,19,8,0,0
"OTU_300",37,32,52,29,33,1,2,40,15,27,3,39,43,26,7,96,3,10,7,40,10,10,12,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_301",0,0,3,12,29,8,2,21,1,24,1,69,8,65,0,0,1,0,0,0,0,1,0,0,13,3,69,1,0,0,0,2,0,0,0,0,1,0,0,0
"OTU_303",0,0,0,21,11,0,1,1,2,8,0,1,11,1,4,0,0,0,0,0,3,2,9,13,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0
"OTU_305",7,3,8,1,1,0,9,4,0,0,4,4,1,2,5,1,2,0,3,1,1,0,1,2,0,0,0,12,0,0,1,2,0,0,0,0,0,0,0,0
"OTU_310",1,1,4,4,3,1,8,4,0,0,0,0,0,1,7,2,2,0,0,0,2,3,2,8,4,0,0,0,9,0,5,3,7,0,1,0,2,68,0,1
