"name","Zi","Pi","type"
"OTU_1969",0,0,"Peripherals"
"OTU_197",1.98710965565544,0.277777777777778,"Peripherals"
"OTU_1981",0.46206064274372,0,"Peripherals"
"OTU_1984",-0.905042056257888,0,"Peripherals"
"OTU_2004",-0.866025403784439,0,"Peripherals"
"OTU_2008",-0.577350269189626,0,"Peripherals"
"OTU_2014",0,0,"Peripherals"
"OTU_202",-1.09544511501033,0,"Peripherals"
"OTU_2034",-0.577350269189626,0,"Peripherals"
"OTU_2035",-0.905042056257888,0,"Peripherals"
"OTU_2046",0,0,"Peripherals"
"OTU_207",-1.22474487139159,0,"Peripherals"
"OTU_208",-0.822071093536653,0,"Peripherals"
"OTU_2084",0,0,"Peripherals"
"OTU_21",-0.263727548465005,0,"Peripherals"
"OTU_2116",-0.198541682428942,0,"Peripherals"
"OTU_212",0.508330377028136,0,"Peripherals"
"OTU_2126",-0.577350269189626,0,"Peripherals"
"OTU_2135",-0.314835737950207,0,"Peripherals"
"OTU_217",1.04617530013889,0,"Peripherals"
"OTU_2174",0,0,"Peripherals"
"OTU_2176",-0.902582501721473,0.5,"Peripherals"
"OTU_219",1.20687032880913,0,"Peripherals"
"OTU_220",0,0,"Peripherals"
"OTU_2206",0,0,"Peripherals"
"OTU_222",-0.981691815623253,0,"Peripherals"
"OTU_2236",-0.902582501721473,0,"Peripherals"
"OTU_225",0,0,"Peripherals"
"OTU_2288",-0.418121005003545,0,"Peripherals"
"OTU_229",2.22366684320415,0,"Peripherals"
"OTU_2291",0,0,"Peripherals"
"OTU_230",0,0,"Peripherals"
"OTU_2310",-0.712612160964169,0,"Peripherals"
"OTU_232",2.2996655275195,0,"Peripherals"
"OTU_2325",0,0,"Peripherals"
"OTU_234",0,0,"Peripherals"
"OTU_2356",-1,0,"Peripherals"
"OTU_244",0.866025403784439,0,"Peripherals"
"OTU_247",0.241859867686166,0,"Peripherals"
"OTU_2478",-0.198541682428942,0,"Peripherals"
"OTU_248",-0.577350269189626,0,"Peripherals"
"OTU_249",-0.981691815623253,0,"Peripherals"
"OTU_2492",-0.577350269189626,0,"Peripherals"
"OTU_25",1.15470053837925,0,"Peripherals"
"OTU_2509",-0.577350269189626,0,"Peripherals"
"OTU_2537",0,0,"Peripherals"
"OTU_254",-0.712612160964169,0.5,"Peripherals"
"OTU_2543",0,0,"Peripherals"
"OTU_2547",0,0,"Peripherals"
"OTU_255",0,0,"Peripherals"
"OTU_2550",-0.981691815623253,0,"Peripherals"
"OTU_2557",0,0,"Peripherals"
"OTU_256",1.15470053837925,0,"Peripherals"
"OTU_2586",-1.09544511501033,0,"Peripherals"
"OTU_2595",0.408248290463863,0,"Peripherals"
"OTU_263",-0.408248290463863,0,"Peripherals"
"OTU_265",0,0,"Peripherals"
"OTU_2659",1.12266296791638,0.165289256198347,"Peripherals"
"OTU_2661",-0.712612160964169,0,"Peripherals"
"OTU_2674",-0.5,0,"Peripherals"
"OTU_269",-0.712612160964169,0,"Peripherals"
"OTU_2701",0.866025403784439,0,"Peripherals"
"OTU_271",-0.859144007601605,0,"Peripherals"
"OTU_272",0,0,"Peripherals"
"OTU_274",1.56306451803149,0,"Peripherals"
"OTU_2748",0,0,"Peripherals"
"OTU_278",-0.859144007601605,0,"Peripherals"
"OTU_28",0.866025403784439,0,"Peripherals"
"OTU_280",-0.712612160964169,0,"Peripherals"
"OTU_281",-0.418121005003545,0,"Peripherals"
"OTU_284",0.866025403784439,0,"Peripherals"
"OTU_2847",0,0,"Peripherals"
"OTU_2865",-0.198541682428942,0,"Peripherals"
"OTU_2895",-0.902582501721473,0,"Peripherals"
"OTU_29",-0.638943232544051,0,"Peripherals"
"OTU_290",0,0,"Peripherals"
"OTU_292",1.48587216541465,0.244897959183674,"Peripherals"
"OTU_2946",-0.981691815623253,0,"Peripherals"
"OTU_295",-0.67397040163279,0,"Peripherals"
"OTU_296",0,0,"Peripherals"
"OTU_3",0,0,"Peripherals"
"OTU_3007",0,0,"Peripherals"
"OTU_302",0.730296743340221,0,"Peripherals"
"OTU_3024",-0.418121005003545,0,"Peripherals"
"OTU_303",-0.866025403784439,0,"Peripherals"
"OTU_3049",-0.577350269189626,0,"Peripherals"
"OTU_305",0.606478434863123,0,"Peripherals"
"OTU_306",-0.822071093536653,0,"Peripherals"
"OTU_307",-0.577350269189626,0,"Peripherals"
"OTU_308",-0.577350269189626,0,"Peripherals"
"OTU_3095",0,0,"Peripherals"
"OTU_31",-0.418742457486497,0.375,"Peripherals"
"OTU_314",0.606478434863123,0,"Peripherals"
"OTU_3151",0,0,"Peripherals"
"OTU_318",-0.577350269189626,0,"Peripherals"
"OTU_3188",0,0,"Peripherals"
"OTU_3195",0.288675134594813,0.444444444444444,"Peripherals"
"OTU_32",0,0,"Peripherals"
"OTU_3229",0,0,"Peripherals"
"OTU_3245",0,0,"Peripherals"
"OTU_3249",0,0,"Peripherals"
"OTU_325",1.20687032880913,0,"Peripherals"
"OTU_327",-0.712612160964169,0,"Peripherals"
"OTU_3286",0,0,"Peripherals"
"OTU_33",1.78748671737392,0,"Peripherals"
"OTU_335",1.15470053837925,0,"Peripherals"
"OTU_336",2.2996655275195,0,"Peripherals"
"OTU_342",-1,0,"Peripherals"
"OTU_3423",0,0,"Peripherals"
"OTU_344",0.816496580927726,0,"Peripherals"
"OTU_3488",0,0,"Peripherals"
"OTU_349",-0.859144007601605,0,"Peripherals"
"OTU_351",-0.314835737950207,0,"Peripherals"
"OTU_352",-0.67397040163279,0,"Peripherals"
"OTU_353",1.56524758424985,0,"Peripherals"
"OTU_354",-0.822071093536653,0,"Peripherals"
"OTU_355",0,0,"Peripherals"
"OTU_356",0,0,"Peripherals"
"OTU_3594",0,0,"Peripherals"
"OTU_3606",0,0,"Peripherals"
"OTU_362",-1.22474487139159,0,"Peripherals"
"OTU_366",0,0,"Peripherals"
"OTU_37",0.14651530470278,0,"Peripherals"
"OTU_3734",0,0,"Peripherals"
"OTU_3749",-0.231059262285517,0,"Peripherals"
"OTU_375",-0.314835737950207,0.444444444444444,"Peripherals"
"OTU_378",-0.801783725737273,0,"Peripherals"
"OTU_385",0,0,"Peripherals"
"OTU_3861",-0.100286944635719,0,"Peripherals"
"OTU_387",1.15470053837925,0,"Peripherals"
"OTU_39",-0.263727548465005,0,"Peripherals"
"OTU_392",1.12266296791638,0,"Peripherals"
"OTU_3938",-0.231059262285517,0.444444444444444,"Peripherals"
"OTU_394",0.55048188256318,0,"Peripherals"
"OTU_3952",0,0,"Peripherals"
"OTU_398",2.22366684320415,0,"Peripherals"
"OTU_40",2.19772957054171,0,"Peripherals"
"OTU_402",-0.67397040163279,0,"Peripherals"
"OTU_403",-1,0,"Peripherals"
"OTU_4077",-0.577350269189626,0,"Peripherals"
"OTU_408",0,0.444444444444444,"Peripherals"
"OTU_413",0.14651530470278,0,"Peripherals"
"OTU_418",0,0,"Peripherals"
"OTU_42",2.72857639556846,0.197530864197531,"Module hubs"
"OTU_424",1.22474487139159,0,"Peripherals"
"OTU_426",0,0,"Peripherals"
"OTU_4307",-0.418742457486497,0,"Peripherals"
"OTU_432",0,0,"Peripherals"
"OTU_433",-0.17817416127495,0,"Peripherals"
"OTU_436",-1.29099444873581,0,"Peripherals"
"OTU_438",0.606478434863123,0,"Peripherals"
"OTU_449",-0.418742457486497,0.375,"Peripherals"
"OTU_451",0,0,"Peripherals"
"OTU_456",-0.712612160964169,0,"Peripherals"
"OTU_457",-1.22474487139159,0.5,"Peripherals"
"OTU_46",1.63299316185545,0,"Peripherals"
"OTU_463",-0.418742457486497,0,"Peripherals"
"OTU_465",1.12266296791638,0,"Peripherals"
"OTU_467",0,0,"Peripherals"
"OTU_475",0,0,"Peripherals"
"OTU_479",0.241859867686166,0.244897959183674,"Peripherals"
"OTU_48",0.866025403784439,0,"Peripherals"
"OTU_483",0,0,"Peripherals"
"OTU_486",-0.822071093536653,0,"Peripherals"
"OTU_4871",-1.08421325480057,0,"Peripherals"
"OTU_490",0,0,"Peripherals"
"OTU_50",0.866025403784439,0,"Peripherals"
"OTU_500",-0.67397040163279,0,"Peripherals"
"OTU_501",-0.418121005003545,0,"Peripherals"
"OTU_514",0,0,"Peripherals"
"OTU_517",-0.198541682428942,0,"Peripherals"
"OTU_518",0,0,"Peripherals"
"OTU_52",-0.866025403784439,0,"Peripherals"
"OTU_520",0,0,"Peripherals"
