"name","Degree","Local_Clustering_Coefficient","Betweenness_Centrality","Closeness_Centrality","Eigenvector_Centrality","PageRank","K_core","Zi","Pi","type"
"OTU_1",9,0.361111111111111,100,0.0203893689313417,2.66174524321268e-16,0.00361092305658543,4,2.19772957054171,0,"Peripherals"
"OTU_10",2,0,175,0.00119347511585188,0.0175976853597969,0.00133369681887023,1,-0.638943232544051,0,"Peripherals"
"OTU_1008",1,0,0,1.23571318632408,1.50606197612314e-18,0.00173310225303414,1,0,0,"Peripherals"
"OTU_1009",4,0.333333333333333,488,0.00135446137317823,0.00285569773351471,0.00230890655824368,3,0.606478434863123,0,"Peripherals"
"OTU_1013",1,0,0,1.24040870647045,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_1031",1,0,0,0.00116670631120497,0.021311095659223,0.000594179428457089,1,-0.859144007601605,0,"Peripherals"
"OTU_1037",1,0,0,1.23122908579255,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_1057",2,0,2,0.306875975158065,0,0.00223496883827054,1,0.866025403784439,0,"Peripherals"
"OTU_106",1,0,0,0.000878607015118874,4.09735001530925e-06,0.000939036892282005,1,-0.905042056257888,0,"Peripherals"
"OTU_1060",1,0,0,0.00932140794650223,2.71731476706652e-18,0.000891762533763439,1,-1.08421325480057,0,"Peripherals"
"OTU_1067",1,0,0,0.00122228631847196,0.0328350104570014,0.000578710560464174,1,-0.859144007601605,0,"Peripherals"
"OTU_107",15,0.171428571428571,3210,0.00164013817368977,0.574863484817396,0.00564860048850214,5,2.0034660681466,0.124444444444444,"Peripherals"
"OTU_1072",1,0,0,1.22946103105022,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_1073",2,0,90,0.00142856687860854,0.111180022491662,0.000870616470094843,2,-0.638943232544051,0,"Peripherals"
"OTU_1080",1,0,0,0.0010136060012153,0.00190680526372461,0.000839991447784913,1,-0.859144007601605,0,"Peripherals"
"OTU_1088",5,0.2,9,0.173097117600589,3.45998922108792e-17,0.00366963245833173,2,1.69265453211202,0,"Peripherals"
"OTU_109",1,0,0,1.17782809300223,2.74041162048226e-18,0.00173310225303414,1,0,0,"Peripherals"
"OTU_1090",2,0,3,0.014506898246076,5.70373980688432e-17,0.000916869408285184,2,-0.67397040163279,0,"Peripherals"
"OTU_11",2,0,16,0.0204692485849521,0,0.00167509895002771,1,-0.0981691815623253,0,"Peripherals"
"OTU_1104",2,0,175,0.00123798654466619,0.0508317401186819,0.00120838710402691,1,-0.638943232544051,0,"Peripherals"
"OTU_1105",1,0,0,1.16511859385109,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_1112",1,0,0,0.200096468409409,0,0.00122689863122879,1,-0.866025403784439,0,"Peripherals"
"OTU_1116",3,0.666666666666667,5,0.0152144450154773,8.10825756861007e-17,0.00136563492963876,2,-0.263727548465005,0,"Peripherals"
"OTU_112",2,0,175,0.00103740567243102,5.76766046214096e-05,0.00161870173147591,1,-0.231059262285517,0,"Peripherals"
"OTU_1127",1,0,0,0.404741917354523,1.91591920099807e-18,0.00135308150381629,1,-0.577350269189626,0,"Peripherals"
"OTU_1130",1,0,0,1.20281388097932,1.15772587781505e-18,0.00173310225303414,1,0,0,"Peripherals"
"OTU_1133",1,0,0,1.19229825895018,4.57493868433752e-18,0.00173310225303414,1,0,0,"Peripherals"
"OTU_1147",1,0,0,1.20429911824124,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_115",2,0,2,0.301360669105966,3.75644465801944e-18,0.00226545315787572,1,0.866025403784439,0,"Peripherals"
"OTU_1150",1,0,0,1.16342259845882,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_116",1,0,0,0.00110166414712727,0.00709673278444286,0.000842541159973441,1,-0.577350269189626,0,"Peripherals"
"OTU_117",1,0,0,1.21363716022387,4.53514426790388e-19,0.00173310225303414,1,0,0,"Peripherals"
